Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,15641100,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,11728716,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,8342732,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,8189954,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9510057,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9990853,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9616902,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6859653,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6587545,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6651958,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9693593,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9841435,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9778467,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9898788,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,8662419,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4320866,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,7387492,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4380328,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4437572,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4529751,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4261651,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4527001,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4482859,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4562600,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4320899,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4314677,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4274273,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4057194,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3980754,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4121006,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4044596,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3673339,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3533946,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3529826,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3535035,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3545868,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3524695,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3547605,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3527548,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3537947,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6434962,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3549175,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3633945,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3514423,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3514922,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3515255,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3536900,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3536145,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3515330,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3527288,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3518725,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3542250,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3528969,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,8307803,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4629254,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4572757,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4593138,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4621799,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3949072,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3515687,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3512856,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3517172,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3523877,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3542559,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3525864,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3672606,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3707233,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4120971,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,3518955,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9420835,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4140221,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4177456,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4030105,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5046274,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,10561445,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6560939,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5215414,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6734883,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6050861,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5453297,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5859506,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6700054,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4916301,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4641574,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6911406,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5930173,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,6211045,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4962029,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4844646,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4923060,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5994974,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4403168,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4538654,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5730845,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4977370,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4816457,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4347112,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5250662,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4287391,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,10292584,200.0,-1.0,-1.0,10002,1.0,0.0
1.0,true,14637332,200.0,-1.0,-1.0,9898,1.0,0.0
1.0,true,15553117,200.0,-1.0,-1.0,9903,1.0,0.0
1.0,true,14921348,200.0,-1.0,-1.0,9880,1.0,0.0
1.0,true,15265048,200.0,-1.0,-1.0,9901,1.0,0.0
1.0,true,24670244,200.0,-1.0,-1.0,9887,1.0,0.0
1.0,true,14831869,200.0,-1.0,-1.0,9887,1.0,0.0
1.0,true,25066355,200.0,-1.0,-1.0,9913,1.0,0.0
1.0,true,27411773,200.0,-1.0,-1.0,9907,1.0,0.0
1.0,true,14262005,200.0,-1.0,-1.0,9902,1.0,0.0
1.0,true,16629897,200.0,-1.0,-1.0,9910,1.0,0.0
