Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,20744380,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,10678389,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,8824113,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,8874174,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9736748,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,10591687,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,11079138,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,7713753,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,7596306,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,7303584,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9697686,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,10736108,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,10274333,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,11824239,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,9096839,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5265608,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5405410,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5194103,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5252402,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5328596,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5290207,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5582126,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5185830,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5142926,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5294131,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5155194,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,5144123,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,7683739,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4867866,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4988421,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4926917,200.0,-1.0,-1.0,10002,1.0,0.0
0.0,true,4795921,200.0,-1.0,-1.0,10002,1.0,0.0
