Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,2758277,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,559101,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,188512,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,186873,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,195774,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,354891,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,357880,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,369657,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,277499,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,232717,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,223086,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,214667,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,236145,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,340467,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,189236,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,102843,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,100993,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,186901,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,103213,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,107733,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,103679,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,103452,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,125722,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,110693,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,116943,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,107354,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,163853,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,109326,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,94243,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,94855,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83545,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,139419,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83211,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,85011,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83318,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84565,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,81313,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,85160,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,81985,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84832,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,82730,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84559,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,82472,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84838,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,81798,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,88774,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83526,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,85074,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,82629,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83491,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,81493,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83353,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,80949,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,85621,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,128850,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,115664,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,113857,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,117677,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,112146,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84696,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,82556,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84791,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84367,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83625,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,91075,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,107653,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,82983,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,85212,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,83081,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,84589,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,89717,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,88218,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,86365,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,88780,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,96649,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,147574,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,140583,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,92566,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,154667,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,137110,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,92705,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,395510,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,241086,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,194125,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,148301,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,143980,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,143108,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,143766,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,154385,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,171741,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,143568,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,173145,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,144495,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,144701,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,147054,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,159231,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,388744,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,363000,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,302683,200.0,-1.0,-1.0,201,1.0,0.0
0.0,true,296493,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,498171,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,737715,200.0,-1.0,-1.0,242,1.0,0.0
1.0,true,578871,200.0,-1.0,-1.0,223,1.0,0.0
1.0,true,829602,200.0,-1.0,-1.0,360,1.0,0.0
1.0,true,649567,200.0,-1.0,-1.0,317,1.0,0.0
1.0,true,689918,200.0,-1.0,-1.0,281,1.0,0.0
1.0,true,478070,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,629769,200.0,-1.0,-1.0,233,1.0,0.0
1.0,true,658235,200.0,-1.0,-1.0,235,1.0,0.0
1.0,true,329039,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,382075,200.0,-1.0,-1.0,237,1.0,0.0
1.0,true,499336,200.0,-1.0,-1.0,272,1.0,0.0
1.0,true,324584,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,303737,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,718614,200.0,-1.0,-1.0,276,1.0,0.0
1.0,true,330377,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,472432,200.0,-1.0,-1.0,244,1.0,0.0
1.0,true,564202,200.0,-1.0,-1.0,294,1.0,0.0
1.0,true,349846,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,638773,200.0,-1.0,-1.0,314,1.0,0.0
1.0,true,325935,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,462223,200.0,-1.0,-1.0,244,1.0,0.0
1.0,true,733625,200.0,-1.0,-1.0,362,1.0,0.0
1.0,true,509563,200.0,-1.0,-1.0,289,1.0,0.0
1.0,true,295131,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,505962,200.0,-1.0,-1.0,249,1.0,0.0
1.0,true,363660,200.0,-1.0,-1.0,220,1.0,0.0
1.0,true,427427,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,552682,200.0,-1.0,-1.0,290,1.0,0.0
1.0,true,292526,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,308154,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,537567,200.0,-1.0,-1.0,289,1.0,0.0
1.0,true,551622,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,311006,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,331753,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,856967,200.0,-1.0,-1.0,445,1.0,0.0
1.0,true,497045,200.0,-1.0,-1.0,290,1.0,0.0
1.0,true,321138,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,315739,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,301078,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,877064,200.0,-1.0,-1.0,308,1.0,0.0
1.0,true,485728,200.0,-1.0,-1.0,286,1.0,0.0
1.0,true,320005,200.0,-1.0,-1.0,201,1.0,0.0
1.0,true,305618,200.0,-1.0,-1.0,201,1.0,0.0
