Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,10450558,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,9957395,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,7553075,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6758214,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6660544,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6633172,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6790724,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6505992,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,7345983,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4487513,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4543314,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4455217,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4517891,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4391008,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4498885,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4943624,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4471350,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4527944,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,7072278,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4457536,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4601657,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4426573,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4391354,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4668437,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4638418,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4602161,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4469671,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4598323,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5715464,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5775803,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4520892,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4385733,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5027105,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4447336,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4436050,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4537480,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4353993,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5295356,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4377272,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4397429,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4397483,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4466199,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6949067,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6904142,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5746535,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6559242,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4707833,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4366683,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4681720,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4563972,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4377895,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4452031,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4373591,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5243408,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4362023,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4383179,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4487830,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4451339,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4500732,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4439756,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4543519,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4565513,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4455290,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4415402,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4466012,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4395848,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4473163,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3589285,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3644817,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3607943,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3577759,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3644023,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3594406,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3743205,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3606036,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3613346,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3608314,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3658456,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3611263,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3892798,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3612716,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3601061,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3588264,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3615241,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3599876,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3589503,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3601612,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3610126,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3695187,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3597268,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3646224,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3643251,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3605945,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3622087,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3608137,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3592212,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3620227,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3594677,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3599116,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3623166,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,17610399,200.0,-1.0,-1.0,42445,1.0,1.0
1.0,true,7541085,200.0,-1.0,-1.0,20455,1.0,1.0
1.0,true,9571564,200.0,-1.0,-1.0,21761,1.0,1.0
1.0,true,11906466,200.0,-1.0,-1.0,30775,1.0,1.0
1.0,true,7612399,200.0,-1.0,-1.0,18909,1.0,1.0
1.0,true,5628784,200.0,-1.0,-1.0,15007,1.0,1.0
1.0,true,9054578,200.0,-1.0,-1.0,23576,1.0,1.0
1.0,true,7467851,200.0,-1.0,-1.0,19572,1.0,1.0
1.0,true,13585398,200.0,-1.0,-1.0,35152,1.0,1.0
1.0,true,3828547,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,6704382,200.0,-1.0,-1.0,17710,1.0,1.0
1.0,true,5007971,200.0,-1.0,-1.0,13392,1.0,1.0
1.0,true,8565759,200.0,-1.0,-1.0,22778,1.0,1.0
1.0,true,8567737,200.0,-1.0,-1.0,21971,1.0,1.0
1.0,true,5067332,200.0,-1.0,-1.0,13684,1.0,1.0
1.0,true,6766105,200.0,-1.0,-1.0,17700,1.0,1.0
1.0,true,9207606,200.0,-1.0,-1.0,24365,1.0,1.0
1.0,true,11219694,200.0,-1.0,-1.0,29967,1.0,1.0
1.0,true,7154502,200.0,-1.0,-1.0,18643,1.0,1.0
1.0,true,11455159,200.0,-1.0,-1.0,30307,1.0,1.0
1.0,true,7307342,200.0,-1.0,-1.0,18974,1.0,1.0
1.0,true,3684418,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,6984600,200.0,-1.0,-1.0,18349,1.0,1.0
1.0,true,5843859,200.0,-1.0,-1.0,15322,1.0,1.0
1.0,true,3710739,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,7274420,200.0,-1.0,-1.0,19198,1.0,1.0
1.0,true,5601631,200.0,-1.0,-1.0,13605,1.0,1.0
1.0,true,10293508,200.0,-1.0,-1.0,27011,1.0,1.0
1.0,true,11645415,200.0,-1.0,-1.0,30336,1.0,1.0
1.0,true,5394823,200.0,-1.0,-1.0,13920,1.0,1.0
1.0,true,11359415,200.0,-1.0,-1.0,28528,1.0,1.0
1.0,true,10173226,200.0,-1.0,-1.0,25406,1.0,1.0
1.0,true,6012267,200.0,-1.0,-1.0,16075,1.0,1.0
1.0,true,7298620,200.0,-1.0,-1.0,19118,1.0,1.0
1.0,true,10151219,200.0,-1.0,-1.0,21663,1.0,1.0
1.0,true,10648282,200.0,-1.0,-1.0,27759,1.0,1.0
1.0,true,3836747,200.0,-1.0,-1.0,10468,1.0,1.0
1.0,true,3705733,200.0,-1.0,-1.0,10136,1.0,1.0
1.0,true,4179559,200.0,-1.0,-1.0,11241,1.0,1.0
1.0,true,10697624,200.0,-1.0,-1.0,27783,1.0,1.0
1.0,true,8291542,200.0,-1.0,-1.0,21428,1.0,1.0
1.0,true,5845335,200.0,-1.0,-1.0,14235,1.0,1.0
1.0,true,8777248,200.0,-1.0,-1.0,22449,1.0,1.0
1.0,true,3692792,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,3683065,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,11778596,200.0,-1.0,-1.0,30098,1.0,1.0
1.0,true,8826559,200.0,-1.0,-1.0,22713,1.0,1.0
1.0,true,3652222,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,7520316,200.0,-1.0,-1.0,19889,1.0,1.0
1.0,true,3613203,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,11792106,200.0,-1.0,-1.0,30375,1.0,1.0
1.0,true,6979625,200.0,-1.0,-1.0,18028,1.0,1.0
1.0,true,7501605,200.0,-1.0,-1.0,19716,1.0,1.0
1.0,true,8639595,200.0,-1.0,-1.0,22801,1.0,1.0
1.0,true,11187324,200.0,-1.0,-1.0,29435,1.0,1.0
1.0,true,3661799,200.0,-1.0,-1.0,10002,1.0,1.0
