Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,5238437,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6365409,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,14331853,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,15700079,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,14712366,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,26599243,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,11839957,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,7195884,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6301825,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5326338,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4949779,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5007840,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6549802,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,8240758,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5877322,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3831348,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5010501,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4068999,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3792576,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5178182,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4032616,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4798019,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4074140,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3802627,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5653020,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3845488,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3861220,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4756518,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3989875,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5072541,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3860787,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4346663,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4651931,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,28271702,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,7536264,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3852845,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4152077,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4154958,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3764205,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3834414,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3695354,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3855924,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3739094,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3709651,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3717571,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3722933,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3718172,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3707367,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3740994,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3848220,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4050926,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3754607,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3710594,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3827313,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3712876,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4162893,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4386885,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4291843,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3935793,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3824823,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4753610,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,8471963,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,10194270,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,8626597,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,9646587,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5285638,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4551186,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4302203,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5047257,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4233708,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5135524,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5988175,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4076862,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5903750,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,6316771,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5684109,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4379034,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,5075394,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4449901,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,4388723,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3425453,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3540690,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3493617,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3470267,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3421965,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3406805,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3450625,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3646065,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3712699,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3730153,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3646566,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3536091,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3424688,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3413137,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3415105,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3411253,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3409972,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3403638,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3436854,200.0,-1.0,-1.0,10002,1.0,1.0
0.0,true,3409237,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,4452497,200.0,-1.0,-1.0,12865,1.0,1.0
1.0,true,7486905,200.0,-1.0,-1.0,21569,1.0,1.0
1.0,true,11722100,200.0,-1.0,-1.0,32070,1.0,1.0
1.0,true,11587430,200.0,-1.0,-1.0,29586,1.0,1.0
1.0,true,8305706,200.0,-1.0,-1.0,22578,1.0,1.0
1.0,true,3843110,200.0,-1.0,-1.0,11097,1.0,1.0
1.0,true,3451184,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,3501043,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,4104223,200.0,-1.0,-1.0,11821,1.0,1.0
1.0,true,3436601,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,7365698,200.0,-1.0,-1.0,20246,1.0,1.0
1.0,true,4191691,200.0,-1.0,-1.0,12090,1.0,1.0
1.0,true,3467017,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,7968094,200.0,-1.0,-1.0,22723,1.0,1.0
1.0,true,15860914,200.0,-1.0,-1.0,43431,1.0,1.0
1.0,true,3446436,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,10507184,200.0,-1.0,-1.0,27452,1.0,1.0
1.0,true,7635692,200.0,-1.0,-1.0,20258,1.0,1.0
1.0,true,13346455,200.0,-1.0,-1.0,29488,1.0,1.0
1.0,true,13519449,200.0,-1.0,-1.0,32255,1.0,1.0
1.0,true,5314202,200.0,-1.0,-1.0,11324,1.0,1.0
1.0,true,4744344,200.0,-1.0,-1.0,12927,1.0,1.0
1.0,true,3932579,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,4278222,200.0,-1.0,-1.0,10270,1.0,1.0
1.0,true,3436512,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,5772710,200.0,-1.0,-1.0,10025,1.0,1.0
1.0,true,9664929,200.0,-1.0,-1.0,22866,1.0,1.0
1.0,true,3504802,200.0,-1.0,-1.0,10002,1.0,1.0
1.0,true,8625084,200.0,-1.0,-1.0,17471,1.0,1.0
1.0,true,17386905,200.0,-1.0,-1.0,38984,1.0,1.0
1.0,true,4598307,200.0,-1.0,-1.0,12927,1.0,1.0
1.0,true,6255282,200.0,-1.0,-1.0,16277,1.0,1.0
1.0,true,13303520,200.0,-1.0,-1.0,13324,1.0,1.0
1.0,true,13315244,200.0,-1.0,-1.0,35367,1.0,1.0
1.0,true,10177661,200.0,-1.0,-1.0,26934,1.0,1.0
1.0,true,9403311,200.0,-1.0,-1.0,23202,1.0,1.0
