Probability,Solvable,Runtime,Path Length (Repeated A*,Path Length (Discovered),Path Length (Complete),Number of Cells Processed,Runtime Weight (EC),Backtrack Steps (EC)
0.0,true,5167015,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,892101,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,862169,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,784497,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,696608,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,728162,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,715364,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,762179,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,726516,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,701893,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,707752,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,688750,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,698931,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,674831,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,713606,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,759699,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,595913,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,594223,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,586745,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,595153,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,597730,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,688099,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,594947,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,586413,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,578304,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1055907,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1112682,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1125788,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1088293,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,824633,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1112783,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1015628,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,517854,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,498593,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,480093,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,489897,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,475552,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,470306,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,494223,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,485384,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,499264,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,494350,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,619609,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,509356,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,504339,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,478532,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,463988,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,466139,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,480077,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,487161,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,476044,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,503000,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,466646,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,458262,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,521071,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,722242,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,467422,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,490118,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,466030,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,486575,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,478096,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,867847,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,880760,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,575287,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,1037192,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,874320,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,457963,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,666192,200.0,-1.0,-1.0,201,1.0,1.0
0.0,true,542577,200.0,-1.0,-1.0,201,1.0,1.0
