Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.0018041,18.0,19,0,1,36
0.0,true,5.893E-4,18.0,19,0,1,36
0.0,true,4.19E-4,18.0,19,0,1,36
0.0,true,4.823E-4,18.0,19,0,1,36
0.0,true,4.352E-4,18.0,19,0,1,36
0.0,true,6.724E-4,18.0,19,0,1,36
0.0,true,5.301E-4,18.0,19,0,1,36
0.0,true,2.876E-4,18.0,19,0,1,36
0.0,true,8.141E-4,18.0,19,0,1,36
0.0,true,2.505E-4,18.0,19,0,1,36
1.0,true,8.936E-4,18.0,19,0,1,36
1.0,true,1.634E-4,18.0,19,0,1,36
1.0,true,2.473E-4,18.0,19,0,1,36
1.0,true,2.829E-4,18.0,19,0,1,36
1.0,true,2.364E-4,18.0,19,0,1,36
1.0,true,2.311E-4,18.0,19,0,1,36
1.0,true,2.399E-4,18.0,19,0,1,36
1.0,true,2.641E-4,18.0,19,0,1,36
1.0,true,1.728E-4,18.0,19,0,1,36
1.0,true,4.246E-4,18.0,19,0,1,36
2.0,true,0.001385,18.0,19,0,1,36
2.0,true,3.103E-4,20.0,43,2,3,42
2.0,true,3.968E-4,22.0,29,0,2,44
2.0,true,2.412E-4,20.0,30,1,2,39
2.0,true,1.768E-4,20.0,30,1,2,39
2.0,true,3.137E-4,18.0,19,0,1,36
2.0,true,1.165E-4,18.0,19,0,1,36
2.0,true,5.865E-4,18.0,33,1,2,40
2.0,true,2.13E-4,18.0,38,1,2,42
2.0,true,1.663E-4,18.0,19,0,1,36
3.0,true,1.934E-4,18.0,19,0,1,36
3.0,true,2.267E-4,18.0,37,1,2,44
3.0,true,1.898E-4,20.0,26,1,2,41
3.0,true,3.317E-4,18.0,19,0,1,36
3.0,true,1.616E-4,18.0,19,0,1,36
3.0,true,1.799E-4,18.0,19,0,1,36
3.0,true,1.489E-4,18.0,19,0,1,36
3.0,true,2.703E-4,20.0,45,2,3,47
3.0,true,1.495E-4,18.0,19,0,1,36
3.0,true,1.618E-4,18.0,19,0,1,36
4.0,true,3.786E-4,22.0,65,3,4,45
4.0,true,1.47E-4,18.0,19,0,1,36
4.0,true,2.636E-4,20.0,30,1,2,39
4.0,true,1.134E-4,18.0,19,0,1,36
4.0,true,1.265E-4,18.0,19,0,1,36
4.0,true,1.626E-4,20.0,28,1,2,41
4.0,true,1.068E-4,18.0,19,0,1,36
4.0,true,1.215E-4,18.0,19,0,1,36
4.0,true,1.444E-4,18.0,33,1,2,40
4.0,true,1.361E-4,18.0,19,0,1,36
5.0,true,2.604E-4,18.0,69,2,4,45
5.0,true,1.217E-4,20.0,24,1,2,40
5.0,true,1.67E-4,22.0,37,1,3,43
5.0,true,1.953E-4,22.0,35,2,3,47
5.0,true,1.308E-4,18.0,19,0,1,36
5.0,true,1.704E-4,24.0,31,1,2,46
5.0,true,1.416E-4,18.0,19,0,1,36
5.0,true,9.67E-5,18.0,19,0,1,36
5.0,true,1.352E-4,18.0,31,1,2,38
5.0,true,1.768E-4,18.0,19,0,1,36
6.0,true,1.52E-4,18.0,38,1,2,36
6.0,true,9.91E-5,20.0,28,1,2,41
6.0,true,1.22E-4,18.0,19,0,1,36
6.0,true,1.417E-4,24.0,49,2,3,52
6.0,true,1.023E-4,20.0,29,1,2,36
6.0,true,1.174E-4,18.0,19,0,1,36
6.0,true,9.19E-5,20.0,25,1,2,41
6.0,true,1.994E-4,18.0,35,1,2,42
6.0,true,1.938E-4,20.0,60,3,4,47
6.0,true,1.354E-4,18.0,30,1,2,37
7.0,true,1.694E-4,20.0,46,3,4,43
7.0,true,1.036E-4,18.0,19,0,1,36
7.0,true,1.208E-4,18.0,19,0,1,36
7.0,true,2.265E-4,18.0,33,1,2,38
7.0,true,1.509E-4,22.0,36,1,3,42
7.0,true,2.151E-4,20.0,50,3,4,47
7.0,true,2.651E-4,20.0,68,3,4,39
7.0,true,2.184E-4,18.0,56,1,3,44
7.0,true,1.611E-4,18.0,32,1,2,39
7.0,true,1.187E-4,20.0,29,1,2,36
8.0,true,1.46E-4,18.0,35,1,2,42
8.0,true,1.849E-4,20.0,47,2,3,45
8.0,true,2.04E-4,20.0,43,2,3,47
8.0,true,1.158E-4,18.0,19,0,1,36
8.0,true,1.727E-4,18.0,30,1,2,37
8.0,true,9.56E-5,18.0,33,1,2,40
8.0,true,9.88E-5,18.0,35,1,2,42
8.0,true,1.064E-4,18.0,19,0,1,36
8.0,true,2.068E-4,20.0,59,3,4,50
8.0,true,2.016E-4,20.0,55,3,4,45
9.0,true,1.736E-4,18.0,46,1,3,45
9.0,true,1.227E-4,18.0,19,0,1,36
9.0,true,1.42E-4,18.0,33,1,2,40
9.0,true,2.098E-4,20.0,52,3,4,46
9.0,true,2.041E-4,18.0,49,2,3,43
9.0,true,1.494E-4,18.0,30,1,2,37
9.0,true,1.61E-4,20.0,27,1,2,41
9.0,true,1.676E-4,18.0,36,1,2,41
9.0,true,7.35E-5,18.0,19,0,1,36
9.0,true,1.133E-4,18.0,52,2,4,43
10.0,true,1.928E-4,22.0,34,0,2,44
10.0,true,1.696E-4,20.0,41,0,3,41
10.0,true,1.546E-4,20.0,31,0,2,38
10.0,true,1.797E-4,18.0,38,1,2,42
10.0,true,1.505E-4,20.0,26,1,2,41
10.0,true,1.061E-4,18.0,19,0,1,36
10.0,true,2.406E-4,22.0,71,4,5,50
10.0,true,0.0045154,20.0,37,2,3,42
10.0,true,1.034E-4,20.0,31,0,2,38
10.0,true,1.007E-4,20.0,26,1,2,41
11.0,true,1.458E-4,20.0,53,3,4,47
11.0,true,2.593E-4,24.0,62,3,4,53
11.0,true,2.824E-4,26.0,71,4,5,57
11.0,true,6.46E-5,20.0,29,1,2,40
11.0,true,1.343E-4,18.0,47,2,3,45
11.0,true,1.245E-4,20.0,44,2,3,42
11.0,true,1.553E-4,20.0,26,1,2,41
