Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.0011967,18.0,19,0,1,36
0.0,true,6.451E-4,18.0,19,0,1,36
0.0,true,8.252E-4,18.0,19,0,1,36
0.0,true,9.334E-4,18.0,19,0,1,36
0.0,true,6.617E-4,18.0,19,0,1,36
0.0,true,6.709E-4,18.0,19,0,1,36
0.0,true,6.168E-4,18.0,19,0,1,36
0.0,true,7.722E-4,18.0,19,0,1,36
0.0,true,6.536E-4,18.0,19,0,1,36
0.0,true,3.622E-4,18.0,19,0,1,36
1.0,true,5.137E-4,18.0,19,0,1,36
1.0,true,2.991E-4,18.0,19,0,1,36
1.0,true,3.932E-4,18.0,19,0,1,36
1.0,true,1.626E-4,18.0,19,0,1,36
1.0,true,3.147E-4,18.0,19,0,1,36
1.0,true,2.95E-4,18.0,19,0,1,36
1.0,true,2.0E-4,18.0,19,0,1,36
1.0,true,3.704E-4,18.0,19,0,1,36
1.0,true,2.561E-4,18.0,19,0,1,36
1.0,true,0.0011431,18.0,19,0,1,36
2.0,true,5.746E-4,18.0,19,0,1,36
2.0,true,0.0016892,20.0,43,2,3,42
2.0,true,0.0014986,22.0,29,0,2,44
2.0,true,2.946E-4,20.0,30,1,2,39
2.0,true,2.851E-4,20.0,30,1,2,39
2.0,true,2.215E-4,18.0,19,0,1,36
2.0,true,1.632E-4,18.0,19,0,1,36
2.0,true,5.183E-4,18.0,33,1,2,40
2.0,true,0.0255194,18.0,38,1,2,42
2.0,true,2.7E-4,18.0,19,0,1,36
3.0,true,3.052E-4,18.0,19,0,1,36
3.0,true,3.917E-4,18.0,37,1,2,44
3.0,true,2.76E-4,20.0,26,1,2,41
3.0,true,2.384E-4,18.0,19,0,1,36
3.0,true,4.982E-4,18.0,19,0,1,36
3.0,true,2.373E-4,18.0,19,0,1,36
3.0,true,1.371E-4,18.0,19,0,1,36
3.0,true,6.407E-4,20.0,45,2,3,47
3.0,true,2.143E-4,18.0,19,0,1,36
3.0,true,2.67E-4,18.0,19,0,1,36
4.0,true,0.0076031,22.0,65,3,4,45
4.0,true,2.476E-4,18.0,19,0,1,36
4.0,true,2.323E-4,20.0,30,1,2,39
4.0,true,1.628E-4,18.0,19,0,1,36
4.0,true,1.981E-4,18.0,19,0,1,36
4.0,true,3.927E-4,20.0,28,1,2,41
4.0,true,1.701E-4,18.0,19,0,1,36
4.0,true,0.0017277,18.0,19,0,1,36
4.0,true,4.16E-4,18.0,33,1,2,40
4.0,true,2.338E-4,18.0,19,0,1,36
5.0,true,7.263E-4,18.0,69,2,4,45
5.0,true,2.258E-4,20.0,24,1,2,40
5.0,true,4.97E-4,22.0,37,1,3,43
5.0,true,3.676E-4,22.0,35,2,3,47
5.0,true,3.144E-4,18.0,19,0,1,36
5.0,true,3.314E-4,24.0,31,1,2,46
5.0,true,2.232E-4,18.0,19,0,1,36
5.0,true,1.949E-4,18.0,19,0,1,36
5.0,true,2.729E-4,18.0,31,1,2,38
5.0,true,1.978E-4,18.0,19,0,1,36
6.0,true,0.001667,18.0,38,1,2,40
6.0,true,2.561E-4,20.0,28,1,2,41
6.0,true,2.738E-4,18.0,19,0,1,36
6.0,true,8.091E-4,24.0,49,2,3,52
6.0,true,7.988E-4,20.0,29,1,2,37
6.0,true,1.314E-4,18.0,19,0,1,36
6.0,true,1.87E-4,20.0,25,1,2,41
6.0,true,1.989E-4,18.0,35,1,2,42
6.0,true,7.835E-4,20.0,60,3,4,47
6.0,true,3.277E-4,18.0,30,1,2,37
7.0,true,4.05E-4,20.0,46,3,4,43
7.0,true,9.589E-4,18.0,19,0,1,36
7.0,true,2.331E-4,18.0,19,0,1,36
7.0,true,0.0017988,18.0,33,1,2,38
7.0,true,2.977E-4,22.0,36,1,3,42
7.0,true,5.566E-4,20.0,50,3,4,47
7.0,true,0.0031536,20.0,68,3,4,45
7.0,true,2.531E-4,18.0,56,1,3,44
7.0,true,3.813E-4,18.0,32,1,2,39
7.0,true,7.554E-4,20.0,29,1,2,37
8.0,true,2.168E-4,18.0,35,1,2,42
8.0,true,9.652E-4,20.0,47,2,3,45
8.0,true,0.0014878,20.0,43,2,3,47
8.0,true,2.802E-4,18.0,19,0,1,36
8.0,true,3.104E-4,18.0,30,1,2,37
8.0,true,2.733E-4,18.0,33,1,2,40
8.0,true,2.852E-4,18.0,35,1,2,42
8.0,true,2.248E-4,18.0,19,0,1,36
8.0,true,0.0013931,20.0,59,3,4,50
8.0,true,0.0010415,20.0,55,3,4,45
9.0,true,4.161E-4,18.0,46,1,3,45
9.0,true,1.981E-4,18.0,19,0,1,36
9.0,true,2.313E-4,18.0,33,1,2,40
9.0,true,5.206E-4,20.0,52,3,4,46
9.0,true,5.562E-4,18.0,49,2,3,43
9.0,true,3.753E-4,18.0,30,1,2,37
9.0,true,4.158E-4,20.0,27,1,2,41
9.0,true,8.411E-4,18.0,36,1,2,41
9.0,true,1.231E-4,18.0,19,0,1,36
9.0,true,3.617E-4,18.0,52,2,4,43
10.0,true,3.014E-4,22.0,34,0,2,44
10.0,true,4.017E-4,20.0,41,0,3,41
10.0,true,3.777E-4,20.0,31,0,2,38
10.0,true,0.0010926,18.0,38,1,2,42
10.0,true,9.051E-4,20.0,26,1,2,41
10.0,true,2.068E-4,18.0,19,0,1,36
10.0,true,4.741E-4,22.0,71,4,5,50
10.0,true,2.375E-4,20.0,37,2,3,42
10.0,true,2.305E-4,20.0,31,0,2,38
10.0,true,2.396E-4,20.0,26,1,2,41
11.0,true,3.735E-4,20.0,53,3,4,47
11.0,true,8.748E-4,24.0,62,3,4,53
11.0,true,0.0015406,26.0,71,4,5,57
11.0,true,3.684E-4,20.0,29,1,2,40
11.0,true,2.027E-4,18.0,47,2,3,45
11.0,true,9.572E-4,20.0,44,2,3,42
11.0,true,2.548E-4,20.0,26,1,2,41
11.0,true,2.193E-4,18.0,31,1,2,38
11.0,true,3.483E-4,20.0,68,2,4,47
11.0,true,1.89E-4,20.0,27,1,2,41
12.0,true,2.194E-4,18.0,19,0,1,36
12.0,true,2.033E-4,20.0,24,1,2,40
12.0,true,1.476E-4,18.0,19,0,1,36
12.0,true,0.001899,20.0,61,4,5,46
12.0,true,5.245E-4,20.0,43,2,3,45
12.0,true,7.112E-4,18.0,88,2,5,43
12.0,true,1.76E-4,20.0,26,1,2,41
12.0,true,3.896E-4,20.0,81,5,6,49
12.0,true,8.949E-4,20.0,37,1,2,41
12.0,true,2.25E-4,20.0,27,1,2,41
13.0,true,2.031E-4,22.0,40,1,3,41
13.0,true,0.0010788,20.0,48,2,3,45
13.0,true,4.952E-4,20.0,46,2,3,45
13.0,true,2.368E-4,20.0,40,2,3,42
13.0,true,5.252E-4,22.0,56,4,5,51
13.0,true,4.086E-4,22.0,45,1,3,51
13.0,true,3.347E-4,30.0,56,2,4,53
13.0,true,7.255E-4,20.0,73,4,5,48
13.0,true,4.383E-4,18.0,38,1,2,42
13.0,true,0.0011938,24.0,67,3,5,52
14.0,true,7.359E-4,24.0,53,3,4,47
14.0,true,1.517E-4,20.0,50,2,4,47
14.0,true,8.659E-4,18.0,48,2,3,43
14.0,true,6.665E-4,24.0,42,3,4,48
14.0,true,0.0014334,24.0,50,2,3,48
14.0,true,1.582E-4,18.0,31,1,2,38
14.0,true,2.275E-4,20.0,38,2,3,42
14.0,true,1.487E-4,20.0,38,1,3,44
14.0,true,0.0015106,22.0,91,7,8,49
14.0,true,3.706E-4,18.0,53,2,3,45
15.0,true,2.596E-4,20.0,37,1,2,45
15.0,true,2.079E-4,18.0,51,2,3,45
15.0,true,6.404E-4,18.0,36,1,2,39
15.0,true,9.09E-4,18.0,37,1,2,40
15.0,true,6.32E-4,30.0,86,6,7,60
15.0,true,1.903E-4,20.0,50,3,4,42
15.0,true,2.198E-4,26.0,64,2,4,53
15.0,true,1.359E-4,22.0,36,2,3,44
15.0,true,9.221E-4,20.0,67,3,4,42
15.0,true,1.565E-4,20.0,28,1,2,41
16.0,true,3.69E-4,20.0,58,3,4,45
16.0,true,1.465E-4,20.0,31,0,2,38
16.0,true,4.96E-4,26.0,54,3,4,53
16.0,true,1.898E-4,20.0,26,1,2,41
