Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.0013722,18.0,19,0,1,19
0.0,true,3.457E-4,18.0,19,0,1,19
0.0,true,2.059E-4,18.0,19,0,1,19
0.0,true,2.616E-4,18.0,19,0,1,19
0.0,true,2.182E-4,18.0,19,0,1,19
0.0,true,1.989E-4,18.0,19,0,1,19
0.0,true,1.876E-4,18.0,19,0,1,19
0.0,true,1.996E-4,18.0,19,0,1,19
0.0,true,8.614E-4,18.0,19,0,1,19
0.0,true,1.145E-4,18.0,19,0,1,19
1.0,true,1.094E-4,18.0,19,0,1,19
1.0,true,6.89E-5,18.0,19,0,1,19
1.0,true,1.261E-4,18.0,19,0,1,19
1.0,true,1.651E-4,18.0,19,0,1,19
1.0,true,1.229E-4,18.0,19,0,1,19
1.0,true,1.121E-4,18.0,19,0,1,19
1.0,true,1.125E-4,18.0,19,0,1,19
1.0,true,7.1E-5,18.0,19,0,1,19
1.0,true,1.622E-4,18.0,19,0,1,19
1.0,true,8.99E-5,18.0,19,0,1,19
2.0,true,9.86E-5,18.0,19,0,1,19
2.0,true,3.798E-4,20.0,43,2,3,23
2.0,true,1.897E-4,22.0,33,2,3,25
2.0,true,1.957E-4,20.0,30,1,2,22
2.0,true,9.58E-5,20.0,30,1,2,22
2.0,true,6.05E-5,18.0,19,0,1,19
2.0,true,6.12E-5,18.0,19,0,1,19
2.0,true,9.59E-5,18.0,33,1,2,20
2.0,true,1.513E-4,18.0,38,1,2,20
2.0,true,5.71E-5,18.0,19,0,1,19
3.0,true,6.35E-5,18.0,19,0,1,19
3.0,true,3.839E-4,18.0,37,1,2,20
3.0,true,6.94E-5,20.0,26,1,2,22
3.0,true,5.7E-5,18.0,19,0,1,19
3.0,true,5.64E-5,18.0,19,0,1,19
3.0,true,6.22E-5,18.0,19,0,1,19
3.0,true,8.64E-5,18.0,19,0,1,19
3.0,true,1.031E-4,20.0,45,2,3,23
3.0,true,5.34E-5,18.0,19,0,1,19
3.0,true,5.75E-5,18.0,19,0,1,19
4.0,true,1.815E-4,22.0,65,3,4,25
4.0,true,5.48E-5,18.0,19,0,1,19
4.0,true,2.883E-4,20.0,30,1,2,22
4.0,true,4.57E-5,18.0,19,0,1,19
4.0,true,4.65E-5,18.0,19,0,1,19
4.0,true,6.05E-5,20.0,28,1,2,22
4.0,true,4.47E-5,18.0,19,0,1,19
4.0,true,5.11E-5,18.0,19,0,1,19
4.0,true,1.077E-4,18.0,33,1,2,20
4.0,true,4.82E-5,18.0,19,0,1,19
5.0,true,1.625E-4,18.0,69,3,4,22
5.0,true,5.56E-5,20.0,24,1,2,22
5.0,true,6.98E-5,22.0,37,2,3,24
5.0,true,8.53E-5,22.0,35,2,3,25
5.0,true,5.41E-5,18.0,19,0,1,19
5.0,true,8.53E-5,24.0,36,2,3,26
5.0,true,4.44E-5,18.0,19,0,1,19
5.0,true,5.07E-5,18.0,19,0,1,19
5.0,true,5.7E-5,18.0,31,1,2,20
5.0,true,4.79E-5,18.0,19,0,1,19
6.0,true,7.88E-5,18.0,38,1,2,20
6.0,true,6.05E-5,20.0,28,1,2,22
