probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,106191,28734,17676484,2981,33509,8.05709527
0.3,2411,1088,3153307,510,1898,1.095230019
0.3,2411,1088,3153307,510,1898,1.099685152
0.3,13039,5261,12929728,2387,8959,4.718455912
0.3,13039,5261,12929728,2387,8959,4.644674422
0.3,209603,53083,17021533,2980,57773,10.359961971
0.3,38898,12978,18286081,3030,17961,7.098658875
0.3,19128,7718,18239367,3030,12703,6.619493642
0.3,29642,10580,18263314,3030,15564,6.867675437
0.3,9526,3946,10235922,1803,6778,3.679121382
0.3,9526,3946,10235922,1803,6778,3.682108112
0.3,134160,35678,17601499,2978,40507,8.969022967
0.3,31176,10983,17755917,2929,15778,6.716297837
0.3,31176,10983,17755917,2929,15778,6.692680203
0.3,64780,20107,17831281,2929,24900,7.594463573
0.3,5102,2398,6874424,1089,4159,2.389197196
0.3,5102,2398,6874424,1089,4159,2.383027551
0.3,45646,14639,18214528,2964,19511,7.177706217
0.3,2010,883,2758160,405,1552,0.933352326
0.3,96776,27973,18610021,3090,32995,8.563046871
0.3,2010,883,2758160,405,1552,0.930408887
0.3,2971,1208,3480299,614,2151,1.204976479
0.3,50179,14997,17225739,2965,19783,6.92872387
0.3,2971,1208,3480299,614,2151,1.195358952
0.3,4505,2057,6234477,967,3632,2.154642647
0.3,18727,7754,18564437,2970,12702,6.691292396
0.3,201397,55476,19001956,2970,60416,11.027800181
0.3,12463,5750,15691053,2505,9882,5.600656847
0.3,12463,5750,15691053,2505,9882,5.581048336
0.3,12463,5750,15691053,2505,9882,5.569565595
0.3,15215,6333,16282756,2837,10845,5.854742214
0.3,15215,6333,16282756,2837,10845,5.85856242
0.3,15215,6333,16282756,2837,10845,5.841488971
0.3,52466,16419,18602220,2949,21294,7.539792143
0.3,1598,781,2160494,321,1304,0.738450522
0.3,1598,781,2160494,321,1304,0.743999034
0.3,37194,11439,17097141,3008,16240,6.54163538
0.3,22154,8101,17057729,3008,12904,6.202152938
0.3,22154,8101,17057729,3008,12904,6.274512131
0.3,30347,10416,17890326,2954,15207,6.744581025
0.3,62169,18337,17978699,2954,23127,7.451220179
0.3,13539,5962,15493513,2602,10133,5.547358556
0.3,204082,51923,18212031,2942,56724,10.415839861
0.3,8890,3916,10471586,1754,6718,3.708386896
0.3,8890,3916,10471586,1754,6718,3.719620322
0.3,54562,16195,17846091,3031,21114,7.202096666
0.3,137730,37035,18072832,3031,41951,9.134816198
0.3,15194,6656,17308589,2972,11466,6.162871554
0.3,49452,15505,17609134,2976,20341,7.083243538
0.3,49452,15505,17609134,2976,20341,7.095752393
0.3,49452,15505,17609134,2976,20341,7.083682395
0.3,81120,23892,17330493,2979,28724,7.727120524
0.3,44154,14128,17243375,2979,18962,6.842781059
0.3,159782,44550,17514058,2979,49379,9.810217282
0.3,110772,28703,18254567,3051,33643,8.431608967
0.3,9740,4247,11748393,1915,7347,4.177518905
0.3,9740,4247,11748393,1915,7347,4.176819614
0.3,96681,27936,18214704,2987,32820,8.353856341
0.3,5419,2483,6872792,1165,4325,2.401979743
0.3,5419,2483,6872792,1165,4325,2.393148181
0.3,7788,3704,10193276,1653,6375,3.606294742
0.3,103342,28428,17774514,3001,33279,8.288734384
0.3,7788,3704,10193276,1653,6375,3.587505979
0.3,52817,16447,18374898,3000,21397,7.405543708
0.3,7751,3437,9322235,1537,5900,3.30108102
0.3,7751,3437,9322235,1537,5900,3.306849974
0.3,36803,12457,18713642,2934,17321,7.135088682
0.3,3347,1715,4870791,720,2901,1.685130054
0.3,86783,25449,18832516,2934,30311,8.27826139
0.3,80838,23998,18813952,2947,28949,8.230152076
0.3,7808,3741,10536233,1643,6445,3.729133385
0.3,80838,23998,18813952,2947,28949,8.201327635
0.3,52280,15621,17749365,2989,20497,7.123380361
0.3,14588,6499,16880559,2860,11151,6.034793642
0.3,14588,6499,16880559,2860,11151,6.017192968
0.3,9764,4756,14078851,2122,8332,4.956036691
0.3,9764,4756,14078851,2122,8332,4.96304839
0.3,102226,29333,19979249,3004,34452,9.052595225
0.3,107591,29362,18049804,2984,34213,8.433783057
0.3,197747,51248,18341586,2984,56095,10.442148524
0.3,7507,3189,9110394,1583,5663,3.202404441
0.3,47790,15138,17563328,2929,19938,7.010756002
0.3,130522,36753,17762009,2929,41550,8.96103502
0.3,130522,36753,17762009,2929,41550,8.986802999
0.3,11532,5016,12888977,2196,8529,4.583479237
0.3,11532,5016,12888977,2196,8529,4.573220814
0.3,101446,28754,18119349,3021,33690,8.352074583
0.3,93554,27417,17937959,2966,32264,8.202725825
0.3,74176,22187,17890282,2966,27034,7.740144491
0.3,34056,11615,17791566,2966,16465,6.766291739
0.3,6718,3082,8307342,1345,5237,2.900527798
0.3,6718,3082,8307342,1345,5237,2.903150351
0.3,6718,3082,8307342,1345,5237,2.892223912
0.3,1292,715,2158609,273,1187,0.72296826
0.3,200066,52929,18804411,2975,57802,10.665930145
0.3,1292,715,2158609,273,1187,0.721666085
0.3,127364,35130,18385196,3008,40052,9.019629497
0.3,1238,443,1125144,225,771,0.384283197
0.3,48138,14939,18198203,3008,19864,7.165880798
0.3,8430,3584,8975761,1566,6032,3.176763218
0.3,8430,3584,8975761,1566,6032,3.169824455
0.3,8430,3584,8975761,1566,6032,3.187725566
0.3,83063,25206,18918821,2936,30124,8.281444577
0.3,9403,4505,11957327,1872,7592,4.222178986
0.3,9403,4505,11957327,1872,7592,4.222370119
0.3,1759,988,2900150,368,1630,0.983252155
0.3,1759,988,2900150,368,1630,0.977642514
0.3,1759,988,2900150,368,1630,0.975810661
0.3,118816,32726,18687720,2964,37615,8.896651255
0.3,68132,20208,18562439,2964,25099,7.717163756
0.3,159890,43245,18785534,2964,48132,9.784630556
0.3,86269,23707,17589754,2959,28496,7.731838682
0.3,49931,14992,17485082,2959,19783,6.957244177
0.3,173193,44918,17833703,2959,49704,9.686409038
0.3,241803,64623,18313757,3012,69529,11.581645311
0.3,5435,2454,6832038,1088,4206,2.36092076
0.3,81283,23379,17927060,3012,28291,7.798433513
0.3,12182,5791,14626752,2500,9853,5.208974188
0.3,12182,5791,14626752,2500,9853,5.189032847
0.3,12182,5791,14626752,2500,9853,5.186784795
0.3,1944,724,1903362,362,1264,0.657072304
0.3,138990,35144,17794059,3057,40016,8.787754951
0.3,89316,23556,17659633,3057,28429,7.748355876
0.3,1098,426,1481953,239,792,0.484864748
0.3,37592,12000,18346762,3039,16997,6.930007063
0.3,244180,62886,18872800,3039,67875,11.599368753
0.3,156231,44847,19018981,3008,49815,10.106986964
0.3,24251,9248,18695280,3008,14223,6.873711047
0.3,14483,6483,17200829,2786,11068,6.115711553
0.3,6607,2897,7876086,1279,4956,2.775911536
0.3,6607,2897,7876086,1279,4956,2.777217496
0.3,6607,2897,7876086,1279,4956,2.773020356
0.3,51604,15889,17366558,2988,20727,7.036698044
0.3,133576,36817,17566299,2988,41652,8.997320093
0.3,298908,78947,17998126,2988,83775,13.098863321
0.3,12130,5597,15062731,2418,9580,5.372852548
0.3,94470,28387,18672819,2983,33324,8.632773937
0.3,12130,5597,15062731,2418,9580,5.410454279
0.3,10664,4318,11270288,1989,7449,4.066714174
0.3,10664,4318,11270288,1989,7449,4.057291693
0.3,503568,122355,19170128,3037,127281,17.151220086
0.3,99345,28168,18116629,2989,33062,8.4405749
0.3,2845,1331,3846337,588,2284,1.325644822
0.3,2845,1331,3846337,588,2284,1.321034855
0.3,6181,2740,7804261,1308,4807,2.754058717
0.3,6181,2740,7804261,1308,4807,2.751590039
0.3,17469,6920,18028106,3019,11816,6.477271753
0.3,23040,8378,17589685,3046,13270,6.457909913
0.3,34110,10989,17616573,3046,15880,6.709997122
0.3,42950,13328,17636804,3046,18218,6.925961018
0.3,118107,34436,19010180,2962,39372,9.257470068
0.3,136093,39306,19050327,2962,44242,9.676726897
0.3,136093,39306,19050327,2962,44242,9.672669836
0.3,6220,2689,7348948,1259,4659,2.602474972
0.3,6220,2689,7348948,1259,4659,2.602716901
0.3,6220,2689,7348948,1259,4659,2.59386787
0.3,49828,14175,17196890,3018,18979,6.894234407
0.3,4372,1683,4609438,841,2964,1.615987311
0.3,137296,34815,17453141,3018,39616,8.891695973
0.3,98576,29739,18973214,2955,34712,8.79680833
0.3,11946,5795,16318663,2587,10104,5.80226542
0.3,11946,5795,16318663,2587,10104,5.786088708
0.3,30907,10441,17905379,3048,15376,6.735226285
0.3,2013,938,3129947,494,1727,1.04776441
0.3,69163,20219,18003913,3048,25152,7.638797293
0.3,81923,24086,19381790,3090,29200,8.437900787
0.3,9723,4529,12881524,2074,7905,4.561724249
0.3,46089,14795,19299307,3090,19911,7.579497387
0.3,48394,14855,17867818,3015,19754,7.170825687
0.3,10604,4375,11291610,1933,7445,4.069612731
0.3,48394,14855,17867818,3015,19754,7.163278729
0.3,19437,8160,18929086,2932,13066,6.877666669
0.3,19437,8160,18929086,2932,13066,6.886944233
0.3,54823,17647,19014836,2932,22551,7.787196772
0.3,44828,13903,17897206,2980,18744,7.023551714
0.3,15884,6851,17671251,2961,11658,6.328837463
0.3,44828,13903,17897206,2980,18744,7.024703947
0.3,149536,36576,17903082,2948,41323,9.029916066
0.3,13958,5889,14610612,2526,9901,5.265488047
0.3,95420,24168,17685246,2948,28916,7.881169949
0.3,8108,3410,9821654,1602,5973,3.458225866
0.3,8108,3410,9821654,1602,5973,3.462490788
0.3,54504,15985,17953409,3067,20935,7.26314227
