probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,49053,13841,1332435,717,14936,0.79628962
0.3,355,210,155906,78,330,0.05110904
0.3,355,210,155906,78,330,0.048065436
0.3,4003,1721,1240255,717,2824,0.417660761
0.3,355,210,155906,78,330,0.050592521
0.3,4003,1721,1240255,717,2824,0.414010595
0.3,4003,1721,1240255,717,2824,0.404996719
0.3,355,210,155906,78,330,0.048594546
0.3,355,210,155906,78,330,0.047880585
0.3,355,210,155906,78,330,0.048800901
0.3,700,391,322533,207,664,0.099055428
0.3,700,391,322533,207,664,0.099704662
0.3,8232,2521,1086987,764,3551,0.385407943
0.3,700,391,322533,207,664,0.107357003
0.3,700,391,322533,207,664,0.10013417
0.3,700,391,322533,207,664,0.099182638
0.3,700,391,322533,207,664,0.100289429
0.3,700,391,322533,207,664,0.099336754
0.3,700,391,322533,207,664,0.101071657
0.3,700,391,322533,207,664,0.10020903
0.3,2407,1278,948436,558,2125,0.306324399
0.3,2407,1278,948436,558,2125,0.300092854
0.3,6591,2467,1194583,710,3561,0.409043119
0.3,2407,1278,948436,558,2125,0.302208648
0.3,2407,1278,948436,558,2125,0.300766357
0.3,2407,1278,948436,558,2125,0.299992882
0.3,2407,1278,948436,558,2125,0.30144197
0.3,2407,1278,948436,558,2125,0.302842677
0.3,2407,1278,948436,558,2125,0.301453539
0.3,2407,1278,948436,558,2125,0.302741889
0.3,46997,11945,861417,643,12778,0.590142528
0.3,1767,801,585280,468,1397,0.184876871
0.3,1767,801,585280,468,1397,0.185621626
0.3,6677,1986,774523,643,2828,0.274133113
0.3,1767,801,585280,468,1397,0.184349183
0.3,1767,801,585280,468,1397,0.18402064
0.3,6677,1986,774523,643,2828,0.273749491
0.3,1767,801,585280,468,1397,0.184611273
0.3,1767,801,585280,468,1397,0.184174526
0.3,1767,801,585280,468,1397,0.18521092
0.3,357,219,180341,91,356,0.05472703
0.3,357,219,180341,91,356,0.054428481
0.3,357,219,180341,91,356,0.053515538
0.3,56333,15559,1247739,701,16603,0.823621904
0.3,7285,2462,1145300,701,3515,0.394924106
0.3,357,219,180341,91,356,0.05392028
0.3,357,219,180341,91,356,0.054164193
0.3,357,219,180341,91,356,0.054073396
0.3,7285,2462,1145300,701,3515,0.391996565
0.3,357,219,180341,91,356,0.053505254
0.3,12538,3739,1095671,726,4750,0.417305909
0.3,24938,6922,1123931,726,7932,0.532550015
0.3,16868,4844,1105518,726,5855,0.463163583
0.3,26586,7333,1128152,726,8342,0.537504048
0.3,9832,3050,1088343,726,4062,0.39334281
0.3,388,250,221499,106,426,0.067317212
0.3,9832,3050,1088343,726,4062,0.394112077
0.3,9832,3050,1088343,726,4062,0.391016281
0.3,388,250,221499,106,426,0.065566314
0.3,43948,11784,1170076,726,12790,0.679700288
0.3,6407,2123,1151565,740,3183,0.383614718
0.3,17685,4841,1176328,740,5900,0.472481675
0.3,17685,4841,1176328,740,5900,0.474894179
0.3,10153,3067,1159922,740,4127,0.413804943
0.3,10153,3067,1159922,740,4127,0.414757248
0.3,10153,3067,1159922,740,4127,0.41840524
0.3,38931,9975,1222586,740,11030,0.642900622
0.3,10153,3067,1159922,740,4127,0.418921743
0.3,19901,5414,1180922,740,6472,0.493038803
0.3,6407,2123,1151565,740,3183,0.384033323
0.3,2468,1280,1027187,628,2212,0.324786203
0.3,2468,1280,1027187,628,2212,0.325024046
0.3,2468,1280,1027187,628,2212,0.324523771
0.3,2468,1280,1027187,628,2212,0.32209645
0.3,2468,1280,1027187,628,2212,0.321109319
0.3,30676,8671,1200626,713,9728,0.591437184
0.3,2468,1280,1027187,628,2212,0.323097166
0.3,2468,1280,1027187,628,2212,0.322738005
0.3,2468,1280,1027187,628,2212,0.322385071
0.3,2468,1280,1027187,628,2212,0.322849464
0.3,380,196,162448,120,331,0.046983887
0.3,4448,1430,990179,752,2411,0.315752893
0.3,25596,6337,1045178,752,7315,0.483059597
0.3,380,196,162448,120,331,0.048517633
0.3,16570,4185,1022432,752,5165,0.416404625
0.3,4448,1430,990179,752,2411,0.315359923
0.3,380,196,162448,120,331,0.048166394
0.3,25596,6337,1045178,752,7315,0.481303333
0.3,380,196,162448,120,331,0.047868173
0.3,380,196,162448,120,331,0.047378228
0.3,2800,1361,984222,641,2254,0.315721762
0.3,2800,1361,984222,641,2254,0.314075754
0.3,14756,4533,1104236,712,5537,0.447068978
0.3,2800,1361,984222,641,2254,0.317896076
0.3,34454,9680,1148034,712,10681,0.613026388
0.3,2800,1361,984222,641,2254,0.314101083
0.3,2800,1361,984222,641,2254,0.314435018
0.3,5356,2057,1084041,712,3062,0.366016847
0.3,2800,1361,984222,641,2254,0.315162913
0.3,2800,1361,984222,641,2254,0.314058671
0.3,1620,725,633289,416,1274,0.19641628
0.3,95802,24743,1360719,737,25796,1.12649087
0.3,3964,1665,1150811,737,2733,0.373488306
0.3,1620,725,633289,416,1274,0.19446827
0.3,3964,1665,1150811,737,2733,0.374036438
0.3,13930,4059,1172944,737,5126,0.453021208
0.3,13930,4059,1172944,737,5126,0.451605637
0.3,1620,725,633289,416,1274,0.194050629
0.3,3964,1665,1150811,737,2733,0.375254918
0.3,1620,725,633289,416,1274,0.195511474
0.3,2033,1047,736919,479,1692,0.232429473
0.3,42683,11883,1155642,703,12879,0.682885969
0.3,2033,1047,736919,479,1692,0.235995324
0.3,14459,4395,1098489,703,5397,0.440332391
0.3,14459,4395,1098489,703,5397,0.439420552
0.3,2033,1047,736919,479,1692,0.233675203
0.3,2033,1047,736919,479,1692,0.234802858
0.3,2033,1047,736919,479,1692,0.233050369
0.3,4903,1902,1079404,703,2905,0.362910671
0.3,14459,4395,1098489,703,5397,0.440347051
0.3,2678,1290,963751,641,2166,0.306959439
0.3,2678,1290,963751,641,2166,0.304682518
0.3,2678,1290,963751,641,2166,0.311195621
0.3,2678,1290,963751,641,2166,0.306994529
0.3,2678,1290,963751,641,2166,0.307563519
0.3,2678,1290,963751,641,2166,0.309014632
0.3,2678,1290,963751,641,2166,0.307116137
0.3,2678,1290,963751,641,2166,0.306082488
0.3,2678,1290,963751,641,2166,0.309498153
0.3,2678,1290,963751,641,2166,0.303908556
0.3,190,57,62670,48,108,0.017412586
0.3,190,57,62670,48,108,0.017524475
0.3,190,57,62670,48,108,0.017506837
0.3,190,57,62670,48,108,0.01735015
0.3,190,57,62670,48,108,0.017430041
0.3,190,57,62670,48,108,0.017348804
0.3,190,57,62670,48,108,0.017963487
0.3,9250,2436,1119713,749,3446,0.382814951
0.3,190,57,62670,48,108,0.017793036
0.3,190,57,62670,48,108,0.017395594
0.3,8261,2713,1155897,708,3765,0.40456972
0.3,1987,826,612195,405,1366,0.1936746
0.3,1987,826,612195,405,1366,0.195438904
0.3,8261,2713,1155897,708,3765,0.407580815
0.3,8261,2713,1155897,708,3765,0.407222561
0.3,1987,826,612195,405,1366,0.193610482
0.3,1987,826,612195,405,1366,0.194007258
0.3,1987,826,612195,405,1366,0.197068508
0.3,1987,826,612195,405,1366,0.194183327
0.3,1987,826,612195,405,1366,0.19344219
0.3,371,204,149586,94,322,0.0455026
0.3,371,204,149586,94,322,0.046147473
0.3,7423,2420,1176714,722,3498,0.406334545
0.3,371,204,149586,94,322,0.045501699
0.3,371,204,149586,94,322,0.046141482
0.3,371,204,149586,94,322,0.04523561
0.3,371,204,149586,94,322,0.045339431
0.3,371,204,149586,94,322,0.045414136
0.3,371,204,149586,94,322,0.045212426
0.3,371,204,149586,94,322,0.045756153
0.3,3846,1591,1107576,727,2610,0.359981771
0.3,3846,1591,1107576,727,2610,0.359784493
0.3,828,450,358939,201,741,0.112308444
0.3,828,450,358939,201,741,0.109259399
0.3,22732,6430,1150555,727,7447,0.520287436
0.3,13962,4104,1131293,727,5122,0.443854169
0.3,828,450,358939,201,741,0.111551302
0.3,33570,9272,1175080,727,10287,0.612831773
0.3,3846,1591,1107576,727,2610,0.357375543
0.3,828,450,358939,201,741,0.110311646
0.3,55937,12660,1147450,754,13657,0.703499287
0.3,44493,10168,1116088,754,11167,0.618635466
0.3,24783,5907,1062186,754,6909,0.476753688
0.3,12229,3252,1027375,754,4257,0.388280849
0.3,8033,2261,1016767,754,3266,0.350927155
0.3,12229,3252,1027375,754,4257,0.386465628
0.3,19779,4936,1047351,754,5940,0.442374072
0.3,32427,7617,1082170,754,8618,0.532635029
0.3,8033,2261,1016767,754,3266,0.35251544
0.3,30063,7173,1075102,754,8175,0.517468997
0.3,757,340,216964,193,549,0.067687116
0.3,13441,3868,944354,676,4786,0.385641587
0.3,757,340,216964,193,549,0.067261855
0.3,3779,1524,922230,676,2443,0.307913634
0.3,757,340,216964,193,549,0.068163372
0.3,757,340,216964,193,549,0.068710741
0.3,3779,1524,922230,676,2443,0.309619254
0.3,757,340,216964,193,549,0.067603998
0.3,757,340,216964,193,549,0.067315768
0.3,757,340,216964,193,549,0.068062514
0.3,29535,7160,1109457,756,8206,0.529781318
0.3,495,191,156255,137,343,0.046411784
0.3,10247,2816,1055855,756,3866,0.379662961
0.3,31945,7695,1116072,756,8740,0.543679899
0.3,495,191,156255,137,343,0.047535873
0.3,10247,2816,1055855,756,3866,0.381093992
0.3,12645,3356,1062402,756,4405,0.401341989
0.3,39691,9446,1136179,756,10491,0.601801535
0.3,22321,5521,1091668,756,6568,0.47441929
0.3,19911,4986,1085053,756,6034,0.455306322
0.3,2470,1126,814384,551,1882,0.260811506
0.3,9882,2880,1078038,728,3891,0.387626213
0.3,26868,6924,1121733,728,7932,0.521926472
0.3,14292,3951,1089291,728,4961,0.424110246
0.3,14292,3951,1089291,728,4961,0.422143171
0.3,21440,5628,1107621,728,6637,0.480579447
0.3,43604,10873,1164595,728,11877,0.654307541
0.3,9882,2880,1078038,728,3891,0.385857465
0.3,21440,5628,1107621,728,6637,0.481733533
0.3,14292,3951,1089291,728,4961,0.423709903
0.3,2979,1327,1008512,663,2266,0.322396752
0.3,2979,1327,1008512,663,2266,0.321893053
0.3,32817,8759,1170108,731,9801,0.587459797
0.3,2979,1327,1008512,663,2266,0.321404834
0.3,2979,1327,1008512,663,2266,0.31990653
0.3,2979,1327,1008512,663,2266,0.319362351
0.3,2979,1327,1008512,663,2266,0.318382221
0.3,2979,1327,1008512,663,2266,0.319070146
0.3,2979,1327,1008512,663,2266,0.32130634
0.3,2979,1327,1008512,663,2266,0.321084284
0.3,590,286,236059,161,484,0.071435182
0.3,590,286,236059,161,484,0.070476953
0.3,590,286,236059,161,484,0.07228877
0.3,590,286,236059,161,484,0.070365134
0.3,590,286,236059,161,484,0.072153118
0.3,590,286,236059,161,484,0.071819881
0.3,7932,2366,936723,734,3279,0.333648473
0.3,590,286,236059,161,484,0.07084172
0.3,590,286,236059,161,484,0.072059468
0.3,590,286,236059,161,484,0.071878988
0.3,449,269,194174,110,430,0.059917032
0.3,10845,2959,1184347,716,4007,0.425598946
0.3,449,269,194174,110,430,0.059406894
0.3,449,269,194174,110,430,0.060947927
0.3,42657,10332,1290309,716,11375,0.674104983
0.3,28625,7031,1244945,716,8076,0.564703548
0.3,15003,3963,1197024,716,5010,0.456694464
0.3,449,269,194174,110,430,0.059719344
0.3,449,269,194174,110,430,0.059772184
0.3,15003,3963,1197024,716,5010,0.458872822
0.3,10206,3058,1102108,733,4085,0.399719683
0.3,12004,3545,1106237,733,4571,0.419385889
0.3,1716,825,636795,414,1394,0.199434699
0.3,19438,5450,1124621,733,6475,0.486806942
0.3,12004,3545,1106237,733,4571,0.420275761
0.3,16662,4756,1117826,733,5782,0.461691553
0.3,1716,825,636795,414,1394,0.201829532
0.3,1716,825,636795,414,1394,0.201069199
0.3,16662,4756,1117826,733,5782,0.457591668
0.3,10206,3058,1102108,733,4085,0.40058717
0.3,1414,711,585981,358,1240,0.18100384
0.3,1414,711,585981,358,1240,0.183081229
0.3,1414,711,585981,358,1240,0.183152361
0.3,1414,711,585981,358,1240,0.182127407
0.3,1414,711,585981,358,1240,0.183268846
0.3,1414,711,585981,358,1240,0.182146957
0.3,1414,711,585981,358,1240,0.182662601
0.3,1414,711,585981,358,1240,0.181238711
0.3,1414,711,585981,358,1240,0.185222854
0.3,1414,711,585981,358,1240,0.180978345
0.3,19922,6050,1175188,704,7109,0.509041897
0.3,5682,2201,1143261,704,3263,0.386884611
0.3,25868,7628,1189096,704,8686,0.56358105
0.3,23448,6971,1183836,704,8030,0.545178994
0.3,8870,2981,1152131,704,4043,0.411843696
0.3,23448,6971,1183836,704,8030,0.540572401
0.3,15206,4694,1165675,704,5755,0.465495499
0.3,23448,6971,1183836,704,8030,0.540681342
0.3,10938,3535,1156694,704,4596,0.429195176
0.3,25868,7628,1189096,704,8686,0.566249017
0.3,53823,14761,1089731,717,15736,0.76411137
0.3,279,167,138995,66,277,0.042535971
0.3,15363,4416,1005702,717,5398,0.41897838
0.3,9273,2728,992658,717,3711,0.360893799
0.3,23245,6528,1022538,717,7509,0.488732083
0.3,23245,6528,1022538,717,7509,0.491933113
0.3,11155,3261,996862,717,4243,0.379104152
0.3,279,167,138995,66,277,0.041876686
0.3,15363,4416,1005702,717,5398,0.417907557
0.3,23245,6528,1022538,717,7509,0.489917516
0.3,24135,6636,1116611,719,7640,0.513995587
0.3,37091,9957,1146303,719,10958,0.631905167
0.3,11589,3517,1088530,719,4523,0.411123742
0.3,9223,2892,1083183,719,3899,0.393215031
