probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,31395,35389,18425974,3037,18607,12.15647779
0.3,7457,7917,9027296,1430,5783,4.118255279
0.3,7457,7917,9027296,1430,5783,4.19876221
0.3,23256,25570,17797417,2984,15299,10.319095166
0.3,23256,25568,17797417,2984,15299,10.265688021
0.3,23256,25570,17797417,2984,15299,10.26404929
0.3,8833,8808,10012313,1604,6486,4.607511019
0.3,8833,8808,10012313,1604,6486,4.616573322
0.3,8833,8808,10012313,1604,6486,4.593481416
0.3,1924,1865,3248785,524,1708,1.267393277
0.3,1924,1865,3248785,524,1708,1.26705802
0.3,1924,1865,3248785,524,1708,1.261376388
0.3,273,281,600403,77,280,0.21596922
0.3,271,278,600401,77,279,0.215818016
0.3,271,278,600401,77,279,0.216619752
0.3,16641,17363,16934159,2756,12077,8.436003084
0.3,2731,2588,3949705,663,2180,1.592539835
0.3,2731,2588,3949705,663,2180,1.597043411
0.3,23753,26559,18836919,2998,15998,10.828691897
0.3,19733,21488,18294230,2892,14071,9.682222298
0.3,19733,21488,18294230,2892,14071,9.666200103
0.3,3479,3496,5868473,864,3188,2.355662582
0.3,3479,3496,5868473,864,3188,2.349849594
0.3,3479,3496,5868473,864,3188,2.348773151
0.3,18581,20357,17338917,2891,13564,9.111667606
0.3,62443,70175,18094075,2989,30988,18.743273052
0.3,18581,20357,17338917,2891,13564,9.120346618
0.3,16838,18238,18692869,2864,13060,9.192570491
0.3,16838,18239,18692869,2864,13060,9.201685527
0.3,5932,6912,7580194,1081,5006,3.524467771
0.3,16622,16448,16540814,2857,11834,8.142541152
0.3,16622,16448,16540814,2857,11834,8.133663826
0.3,16622,16448,16540814,2857,11834,8.12974505
0.3,26843,30587,18141388,2965,17287,11.34918835
0.3,26843,30586,18141388,2965,17287,11.336667623
0.3,26843,30587,18141388,2965,17287,11.333950488
0.3,3062,3247,5033975,676,2784,2.07424365
0.3,3062,3249,5043477,677,2786,2.067226591
0.3,3062,3248,5033975,676,2784,2.06783047
0.3,16571,17501,15965863,2636,11907,8.150242892
0.3,8261,8340,9040087,1474,6011,4.197674971
0.3,27963,31942,18284382,3004,17503,11.612589493
0.3,5387,4689,7090419,1122,3986,2.943074602
0.3,5387,4689,7090419,1122,3986,2.9346342
0.3,5387,4689,7090419,1122,3986,2.937192875
0.3,3863,3735,5874827,942,3220,2.390555082
0.3,3863,3735,5874827,942,3220,2.367810649
0.3,7073,7283,9055860,1420,5553,4.008111073
0.3,15653,17033,12661466,2063,10260,6.976755577
0.3,15653,17033,12661466,2063,10260,6.978749255
0.3,15653,17033,12661466,2063,10260,6.97037046
0.3,34424,37306,17718718,2927,19049,12.335993013
0.3,2730,2501,3892158,598,2145,1.568894246
0.3,2730,2501,3892158,598,2145,1.564221966
0.3,10212,10481,12253844,1835,7934,5.668385423
0.3,10212,10481,12253844,1835,7934,5.664809308
0.3,10212,10481,12253844,1835,7934,5.671473199
0.3,11055,11359,11998381,1939,8203,5.720828458
0.3,11055,11358,11998381,1939,8203,5.731700878
0.3,11055,11357,11998381,1939,8203,5.708041991
0.3,9252,8941,11805338,1880,7234,5.197079171
0.3,9252,8941,11805338,1880,7234,5.198165389
0.3,18528,19591,16761731,2806,12855,8.799191984
0.3,12567,12381,14082005,2437,9440,6.581652724
0.3,14345,14325,15377249,2652,10646,7.378912824
0.3,14345,14325,15377249,2652,10646,7.407250406
0.3,14414,14776,13892701,2288,10008,7.001319554
0.3,200,169,286233,76,174,0.103992695
0.3,14414,14772,13892701,2288,10008,6.975147071
0.3,3531,3375,4602292,767,2770,1.947594683
0.3,3531,3375,4602292,767,2770,1.947780906
0.3,4447,4267,5205878,851,3284,2.2907631
0.3,26135,29811,18213407,2939,16993,11.307585579
0.3,26135,29813,18213407,2939,16993,11.301717946
0.3,38333,44359,18361835,2954,22299,14.152094886
0.3,29558,32906,17579162,3007,17878,11.635438693
0.3,2956,2719,4214756,693,2313,1.700666468
0.3,29558,32909,17579162,3007,17878,11.612054924
0.3,13267,14592,12549552,1996,9455,6.525801421
0.3,13267,14592,12549552,1996,9455,6.521665389
0.3,13267,14592,12549552,1996,9455,6.521125251
0.3,11206,11514,11587346,1919,8090,5.627937477
0.3,1668,1541,2893373,488,1511,1.104472561
0.3,11206,11512,11587346,1919,8090,5.633198102
0.3,25772,28689,17886941,2985,16565,10.973642892
0.3,25772,28689,17886941,2985,16565,10.980933453
0.3,6784,6323,8783304,1495,5296,3.755242543
0.3,12703,13385,14350517,2280,9777,6.895603273
0.3,8679,9128,10878973,1634,6925,4.996206013
0.3,12703,13388,14350517,2280,9777,6.889483712
0.3,13067,13217,12226524,2166,9050,6.169620065
0.3,20665,21696,16659521,2875,13766,9.241729396
0.3,13067,13217,12226524,2166,9050,6.148883967
0.3,10165,11055,12088837,1867,8210,5.7709701
0.3,41473,48677,18535810,2924,23746,15.006690514
0.3,10165,11055,12088837,1867,8210,5.750321478
0.3,28564,33442,18047217,2930,18099,11.937955367
0.3,15188,16257,16092927,2599,11492,7.981099746
0.3,15188,16258,16092927,2599,11492,7.992029748
0.3,2861,2630,4399969,705,2374,1.746448384
0.3,2861,2630,4399969,705,2374,1.747619167
0.3,2861,2630,4399969,705,2374,1.748505085
0.3,6293,5890,8165339,1384,5004,3.512894677
0.3,6293,5890,8165339,1384,5004,3.529658618
0.3,36633,39758,17457773,3031,20129,12.896171804
0.3,10508,11499,11691100,1760,8095,5.712468329
