Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.004653045,200.0,201,0,1,400
0.0,true,0.001378076,200.0,201,0,1,400
0.0,true,0.003402786,200.0,201,0,1,400
0.0,true,9.10157E-4,200.0,201,0,1,400
0.0,true,9.03894E-4,200.0,201,0,1,400
0.0,true,0.001135074,200.0,201,0,1,400
0.0,true,8.27293E-4,200.0,201,0,1,400
0.0,true,7.75977E-4,200.0,201,0,1,400
0.0,true,7.77287E-4,200.0,201,0,1,400
0.0,true,7.28532E-4,200.0,201,0,1,400
0.0,true,7.38141E-4,200.0,201,0,1,400
0.0,true,7.26856E-4,200.0,201,0,1,400
0.0,true,7.33995E-4,200.0,201,0,1,400
0.0,true,7.26217E-4,200.0,201,0,1,400
0.0,true,7.47921E-4,200.0,201,0,1,400
0.0,true,4.89167E-4,200.0,201,0,1,400
0.0,true,4.79301E-4,200.0,201,0,1,400
0.0,true,4.22615E-4,200.0,201,0,1,400
0.0,true,4.54672E-4,200.0,201,0,1,400
0.0,true,4.56835E-4,200.0,201,0,1,400
0.0,true,4.56483E-4,200.0,201,0,1,400
0.0,true,4.57578E-4,200.0,201,0,1,400
0.0,true,4.54692E-4,200.0,201,0,1,400
0.0,true,3.83668E-4,200.0,201,0,1,400
0.0,true,4.08834E-4,200.0,201,0,1,400
0.0,true,3.94739E-4,200.0,201,0,1,400
0.0,true,3.86154E-4,200.0,201,0,1,400
0.0,true,3.85714E-4,200.0,201,0,1,400
0.0,true,3.79579E-4,200.0,201,0,1,400
0.0,true,4.18696E-4,200.0,201,0,1,400
0.0,true,4.14685E-4,200.0,201,0,1,400
0.0,true,4.08528E-4,200.0,201,0,1,400
0.0,true,4.07613E-4,200.0,201,0,1,400
0.0,true,3.58448E-4,200.0,201,0,1,400
0.0,true,3.62983E-4,200.0,201,0,1,400
0.0,true,3.59991E-4,200.0,201,0,1,400
0.0,true,3.59767E-4,200.0,201,0,1,400
0.0,true,3.61152E-4,200.0,201,0,1,400
0.0,true,3.60632E-4,200.0,201,0,1,400
0.0,true,3.61684E-4,200.0,201,0,1,400
0.0,true,3.60943E-4,200.0,201,0,1,400
0.0,true,4.18461E-4,200.0,201,0,1,400
0.0,true,3.546E-4,200.0,201,0,1,400
0.0,true,3.50259E-4,200.0,201,0,1,400
0.0,true,3.51417E-4,200.0,201,0,1,400
0.0,true,3.5189E-4,200.0,201,0,1,400
0.0,true,3.54754E-4,200.0,201,0,1,400
0.0,true,3.5209E-4,200.0,201,0,1,400
0.0,true,3.52314E-4,200.0,201,0,1,400
0.0,true,3.53823E-4,200.0,201,0,1,400
0.0,true,3.54196E-4,200.0,201,0,1,400
0.0,true,3.53325E-4,200.0,201,0,1,400
0.0,true,4.34197E-4,200.0,201,0,1,400
0.0,true,3.5138E-4,200.0,201,0,1,400
0.0,true,3.57102E-4,200.0,201,0,1,400
0.0,true,3.49471E-4,200.0,201,0,1,400
0.0,true,3.51949E-4,200.0,201,0,1,400
0.0,true,3.49564E-4,200.0,201,0,1,400
0.0,true,3.55338E-4,200.0,201,0,1,400
0.0,true,3.52088E-4,200.0,201,0,1,400
0.0,true,3.50584E-4,200.0,201,0,1,400
0.0,true,3.52621E-4,200.0,201,0,1,400
0.0,true,3.55363E-4,200.0,201,0,1,400
0.0,true,3.50618E-4,200.0,201,0,1,400
0.0,true,3.51736E-4,200.0,201,0,1,400
0.0,true,3.53933E-4,200.0,201,0,1,400
0.0,true,3.528E-4,200.0,201,0,1,400
0.0,true,5.91313E-4,200.0,201,0,1,400
0.0,true,6.39765E-4,200.0,201,0,1,400
0.0,true,5.86257E-4,200.0,201,0,1,400
0.0,true,6.01574E-4,200.0,201,0,1,400
0.0,true,5.89556E-4,200.0,201,0,1,400
0.0,true,3.52095E-4,200.0,201,0,1,400
0.0,true,3.51257E-4,200.0,201,0,1,400
0.0,true,3.56052E-4,200.0,201,0,1,400
0.0,true,3.54887E-4,200.0,201,0,1,400
0.0,true,3.51601E-4,200.0,201,0,1,400
0.0,true,3.51806E-4,200.0,201,0,1,400
0.0,true,3.59302E-4,200.0,201,0,1,400
0.0,true,3.5187E-4,200.0,201,0,1,400
0.0,true,3.5202E-4,200.0,201,0,1,400
0.0,true,3.52174E-4,200.0,201,0,1,400
0.0,true,3.60675E-4,200.0,201,0,1,400
0.0,true,3.56533E-4,200.0,201,0,1,400
0.0,true,3.55286E-4,200.0,201,0,1,400
0.0,true,3.55237E-4,200.0,201,0,1,400
0.0,true,3.58525E-4,200.0,201,0,1,400
0.0,true,3.5485E-4,200.0,201,0,1,400
0.0,true,3.52337E-4,200.0,201,0,1,400
0.0,true,3.55324E-4,200.0,201,0,1,400
0.0,true,3.56157E-4,200.0,201,0,1,400
0.0,true,3.53597E-4,200.0,201,0,1,400
0.0,true,3.54761E-4,200.0,201,0,1,400
0.0,true,3.54657E-4,200.0,201,0,1,400
0.0,true,3.56433E-4,200.0,201,0,1,400
0.0,true,3.57787E-4,200.0,201,0,1,400
0.0,true,4.23889E-4,200.0,201,0,1,400
0.0,true,3.69668E-4,200.0,201,0,1,400
0.0,true,3.56785E-4,200.0,201,0,1,400
0.0,true,3.9742E-4,200.0,201,0,1,400
1.0,true,0.001952012,202.0,343,2,3,414
1.0,true,0.001453795,204.0,452,3,4,499
1.0,true,0.001486619,200.0,500,2,3,449
1.0,true,4.65572E-4,202.0,264,1,2,405
1.0,true,5.36431E-4,202.0,227,1,2,405
1.0,true,5.8455E-4,202.0,364,1,3,458
1.0,true,3.95475E-4,200.0,201,0,1,400
1.0,true,4.75055E-4,200.0,352,1,2,450
1.0,true,6.24737E-4,202.0,644,3,4,500
1.0,true,5.78319E-4,204.0,460,3,4,473
1.0,true,6.46271E-4,200.0,787,4,5,493
1.0,true,5.88173E-4,200.0,631,3,4,495
1.0,true,4.1094E-4,200.0,201,0,1,400
1.0,true,4.99382E-4,202.0,395,3,4,478
1.0,true,5.21527E-4,200.0,453,1,3,442
1.0,true,3.98699E-4,202.0,253,1,2,405
1.0,true,3.91551E-4,202.0,269,1,2,405
1.0,true,4.56214E-4,200.0,435,2,3,424
1.0,true,5.71953E-4,202.0,586,3,4,465
1.0,true,3.69332E-4,200.0,201,0,1,400
1.0,true,4.13696E-4,200.0,201,0,1,400
1.0,true,4.51557E-4,200.0,349,1,2,445
1.0,true,4.04371E-4,202.0,283,1,2,405
1.0,true,5.33429E-4,200.0,501,2,3,473
1.0,true,5.39763E-4,202.0,511,3,4,478
1.0,true,4.60198E-4,200.0,350,1,2,448
1.0,true,4.70311E-4,200.0,359,1,2,457
1.0,true,3.8034E-4,200.0,201,0,1,400
1.0,true,5.55239E-4,200.0,522,2,3,481
1.0,true,5.06272E-4,202.0,481,3,4,457
1.0,true,6.18437E-4,202.0,608,3,4,477
1.0,true,3.61503E-4,200.0,201,0,1,400
1.0,true,6.16927E-4,202.0,739,4,5,486
1.0,true,5.70231E-4,206.0,640,5,6,482
1.0,true,4.51554E-4,200.0,357,1,2,453
1.0,true,4.95263E-4,204.0,229,2,3,409
1.0,true,5.63378E-4,206.0,593,4,5,510
1.0,true,4.35819E-4,202.0,346,2,3,441
1.0,true,4.38297E-4,206.0,361,3,4,414
1.0,true,3.77123E-4,202.0,232,1,2,405
1.0,true,4.64773E-4,200.0,369,1,2,465
1.0,true,5.17177E-4,206.0,496,4,5,476
1.0,true,4.4368E-4,202.0,367,2,3,440
1.0,true,5.30641E-4,200.0,609,3,4,449
1.0,true,5.45274E-4,202.0,494,3,4,448
1.0,true,3.61473E-4,200.0,201,0,1,400
1.0,true,7.36189E-4,204.0,1013,6,7,502
1.0,true,4.24329E-4,204.0,264,0,2,410
1.0,true,4.13447E-4,202.0,299,1,2,405
1.0,true,5.1722E-4,202.0,451,2,3,487
1.0,true,4.3252E-4,200.0,336,1,2,432
1.0,true,4.80084E-4,202.0,409,2,3,471
1.0,true,4.41937E-4,202.0,262,1,2,405
1.0,true,3.7745E-4,202.0,225,1,2,405
1.0,true,4.17317E-4,202.0,328,2,3,416
1.0,true,4.11941E-4,200.0,318,1,2,416
1.0,true,4.49736E-4,200.0,359,1,2,455
1.0,true,3.63249E-4,200.0,201,0,1,400
1.0,true,5.35952E-4,202.0,397,2,3,477
1.0,true,3.75659E-4,202.0,229,1,2,405
1.0,true,3.90175E-4,202.0,273,1,2,405
1.0,true,3.60412E-4,200.0,201,0,1,400
1.0,true,4.13799E-4,204.0,303,2,3,410
1.0,true,5.40446E-4,206.0,526,4,5,485
1.0,true,4.75567E-4,202.0,422,2,3,448
1.0,true,5.62526E-4,204.0,670,4,5,460
1.0,true,4.25624E-4,204.0,362,2,3,410
1.0,true,4.65246E-4,204.0,470,3,4,420
1.0,true,5.74132E-4,202.0,614,3,4,495
1.0,true,4.02246E-4,202.0,299,1,2,405
1.0,true,3.80273E-4,202.0,250,1,2,405
1.0,true,3.83183E-4,202.0,257,1,2,405
1.0,true,5.4396E-4,202.0,569,3,4,474
1.0,true,5.57419E-4,202.0,591,4,5,473
1.0,true,4.43803E-4,202.0,360,2,3,445
1.0,true,3.83057E-4,202.0,243,1,2,405
1.0,true,3.60503E-4,200.0,201,0,1,400
1.0,true,3.62154E-4,200.0,201,0,1,400
1.0,true,3.79469E-4,202.0,234,1,2,405
1.0,true,4.78488E-4,200.0,388,1,2,482
1.0,true,4.38228E-4,200.0,303,1,2,401
1.0,true,5.06493E-4,204.0,512,3,4,464
1.0,true,4.65008E-4,204.0,359,3,4,419
1.0,true,6.48798E-4,204.0,775,5,6,477
1.0,true,6.20534E-4,204.0,651,4,5,499
1.0,true,6.59948E-4,206.0,927,8,9,451
1.0,true,3.67584E-4,200.0,201,0,1,400
1.0,true,4.55294E-4,204.0,413,3,4,416
1.0,true,6.53422E-4,200.0,764,3,4,491
1.0,true,4.88155E-4,204.0,490,3,4,421
1.0,true,4.08536E-4,202.0,298,1,2,405
1.0,true,5.05599E-4,206.0,498,3,5,457
1.0,true,6.20424E-4,208.0,603,4,5,501
1.0,true,7.01329E-4,202.0,928,5,6,505
1.0,true,6.34928E-4,202.0,788,4,5,495
1.0,true,3.67363E-4,200.0,201,0,1,400
1.0,true,4.02505E-4,202.0,273,1,2,405
1.0,true,4.644E-4,204.0,376,3,4,447
1.0,true,3.6451E-4,200.0,201,0,1,400
1.0,true,5.30172E-4,204.0,483,3,4,490
2.0,true,5.03814E-4,204.0,511,3,4,427
2.0,true,6.5323E-4,204.0,854,5,6,484
2.0,true,3.90196E-4,202.0,241,1,2,405
2.0,true,3.97896E-4,202.0,259,1,2,405
2.0,true,8.92014E-4,210.0,1523,12,13,498
2.0,true,4.9057E-4,202.0,342,2,3,439
2.0,true,4.5014E-4,200.0,352,1,2,444
