Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.021897804,200.0,201,0,1,400
0.0,true,0.003363296,200.0,201,0,1,400
0.0,true,0.003131142,200.0,201,0,1,400
0.0,true,0.002856082,200.0,201,0,1,400
0.0,true,0.002872646,200.0,201,0,1,400
0.0,true,0.003161981,200.0,201,0,1,400
0.0,true,0.002817361,200.0,201,0,1,400
0.0,true,0.00275795,200.0,201,0,1,400
0.0,true,0.002728717,200.0,201,0,1,400
0.0,true,0.002682945,200.0,201,0,1,400
0.0,true,0.002661684,200.0,201,0,1,400
0.0,true,0.002711226,200.0,201,0,1,400
0.0,true,0.002678044,200.0,201,0,1,400
0.0,true,0.002672676,200.0,201,0,1,400
0.0,true,0.002714512,200.0,201,0,1,400
0.0,true,0.002554887,200.0,201,0,1,400
0.0,true,0.002314385,200.0,201,0,1,400
0.0,true,0.002378468,200.0,201,0,1,400
0.0,true,0.002386269,200.0,201,0,1,400
0.0,true,0.002403457,200.0,201,0,1,400
0.0,true,0.00240037,200.0,201,0,1,400
0.0,true,0.002406966,200.0,201,0,1,400
0.0,true,0.002404524,200.0,201,0,1,400
0.0,true,0.002293415,200.0,201,0,1,400
0.0,true,0.00227904,200.0,201,0,1,400
0.0,true,0.002338895,200.0,201,0,1,400
0.0,true,0.002269677,200.0,201,0,1,400
0.0,true,0.002285538,200.0,201,0,1,400
0.0,true,0.002246662,200.0,201,0,1,400
0.0,true,0.002244385,200.0,201,0,1,400
0.0,true,0.002237569,200.0,201,0,1,400
0.0,true,0.002223123,200.0,201,0,1,400
0.0,true,0.002232437,200.0,201,0,1,400
0.0,true,0.002266416,200.0,201,0,1,400
0.0,true,0.002260726,200.0,201,0,1,400
0.0,true,0.002251698,200.0,201,0,1,400
0.0,true,0.002265515,200.0,201,0,1,400
0.0,true,0.002271405,200.0,201,0,1,400
0.0,true,0.002284497,200.0,201,0,1,400
0.0,true,0.002264137,200.0,201,0,1,400
0.0,true,0.002316479,200.0,201,0,1,400
0.0,true,0.002180458,200.0,201,0,1,400
0.0,true,0.002231085,200.0,201,0,1,400
0.0,true,0.002230805,200.0,201,0,1,400
0.0,true,0.002204015,200.0,201,0,1,400
0.0,true,0.002232617,200.0,201,0,1,400
0.0,true,0.002240446,200.0,201,0,1,400
0.0,true,0.002198821,200.0,201,0,1,400
0.0,true,0.002213703,200.0,201,0,1,400
0.0,true,0.002180853,200.0,201,0,1,400
0.0,true,0.002176522,200.0,201,0,1,400
0.0,true,0.002164479,200.0,201,0,1,400
0.0,true,0.002212644,200.0,201,0,1,400
0.0,true,0.002209448,200.0,201,0,1,400
0.0,true,0.002205411,200.0,201,0,1,400
0.0,true,0.002249344,200.0,201,0,1,400
0.0,true,0.002249936,200.0,201,0,1,400
0.0,true,0.002221831,200.0,201,0,1,400
0.0,true,0.002233108,200.0,201,0,1,400
0.0,true,0.002186332,200.0,201,0,1,400
0.0,true,0.002189685,200.0,201,0,1,400
0.0,true,0.002182356,200.0,201,0,1,400
0.0,true,0.002161854,200.0,201,0,1,400
0.0,true,0.002175496,200.0,201,0,1,400
0.0,true,0.002149201,200.0,201,0,1,400
0.0,true,0.002161056,200.0,201,0,1,400
0.0,true,0.002198732,200.0,201,0,1,400
0.0,true,0.00259666,200.0,201,0,1,400
0.0,true,0.002476207,200.0,201,0,1,400
0.0,true,0.00259568,200.0,201,0,1,400
0.0,true,0.002519646,200.0,201,0,1,400
0.0,true,0.002230401,200.0,201,0,1,400
0.0,true,0.002193205,200.0,201,0,1,400
0.0,true,0.002172019,200.0,201,0,1,400
0.0,true,0.002172875,200.0,201,0,1,400
0.0,true,0.002200418,200.0,201,0,1,400
0.0,true,0.00219391,200.0,201,0,1,400
0.0,true,0.002199632,200.0,201,0,1,400
0.0,true,0.002172673,200.0,201,0,1,400
0.0,true,0.002191413,200.0,201,0,1,400
0.0,true,0.002187187,200.0,201,0,1,400
0.0,true,0.002256778,200.0,201,0,1,400
0.0,true,0.002189593,200.0,201,0,1,400
0.0,true,0.002280377,200.0,201,0,1,400
0.0,true,0.002250203,200.0,201,0,1,400
0.0,true,0.002216738,200.0,201,0,1,400
0.0,true,0.002190432,200.0,201,0,1,400
0.0,true,0.0022034,200.0,201,0,1,400
0.0,true,0.002221227,200.0,201,0,1,400
0.0,true,0.002233138,200.0,201,0,1,400
0.0,true,0.002179708,200.0,201,0,1,400
0.0,true,0.002189781,200.0,201,0,1,400
0.0,true,0.002161492,200.0,201,0,1,400
0.0,true,0.002197477,200.0,201,0,1,400
0.0,true,0.002231807,200.0,201,0,1,400
0.0,true,0.002189722,200.0,201,0,1,400
0.0,true,0.002242022,200.0,201,0,1,400
0.0,true,0.002243358,200.0,201,0,1,400
0.0,true,0.002185883,200.0,201,0,1,400
0.0,true,0.002204575,200.0,201,0,1,400
1.0,true,0.011454359,202.0,343,2,3,414
1.0,true,0.013159712,204.0,452,3,4,499
1.0,true,0.02943221,200.0,500,2,3,450
1.0,true,0.004394584,202.0,264,1,2,405
1.0,true,0.00451674,202.0,227,1,2,405
1.0,true,0.014663809,202.0,364,1,3,458
1.0,true,0.00422782,200.0,201,0,1,400
1.0,true,0.004515108,200.0,352,1,2,450
1.0,true,0.022513104,202.0,644,3,4,500
1.0,true,0.011071459,204.0,460,3,4,473
1.0,true,0.011596665,200.0,787,4,5,493
1.0,true,0.017430393,200.0,631,3,4,495
1.0,true,0.004050581,200.0,201,0,1,400
1.0,true,0.023241607,202.0,395,3,4,478
1.0,true,0.004428729,200.0,453,1,3,442
1.0,true,0.004185838,202.0,253,1,2,405
1.0,true,0.004128927,202.0,269,1,2,405
1.0,true,0.00435675,200.0,435,2,3,424
1.0,true,0.010993104,202.0,586,3,4,465
1.0,true,0.004125527,200.0,201,0,1,400
1.0,true,0.004341469,200.0,201,0,1,400
1.0,true,0.008584945,200.0,349,1,2,445
1.0,true,0.004390055,202.0,283,1,2,405
1.0,true,0.012867943,200.0,501,2,3,473
1.0,true,0.010627398,202.0,511,3,4,478
1.0,true,0.004312894,200.0,350,1,2,448
1.0,true,0.004333865,200.0,359,1,2,457
1.0,true,0.004233439,200.0,201,0,1,400
1.0,true,0.011633938,200.0,522,2,3,481
1.0,true,0.009542295,202.0,481,3,4,457
1.0,true,0.009654898,202.0,608,3,4,477
1.0,true,0.003999898,200.0,201,0,1,400
1.0,true,0.012530586,202.0,739,4,5,486
1.0,true,0.010394525,206.0,640,5,6,482
1.0,true,0.010165345,200.0,357,1,2,453
1.0,true,0.004186379,204.0,229,2,3,409
1.0,true,0.004439629,206.0,593,4,5,510
1.0,true,0.004165109,202.0,346,2,3,441
1.0,true,0.004329392,206.0,361,3,4,414
1.0,true,0.004172141,202.0,232,1,2,405
1.0,true,0.0090068,200.0,369,1,2,465
