Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.002682015,200.0,201,0,1,400
0.0,true,9.66523E-4,200.0,201,0,1,400
0.0,true,8.42194E-4,200.0,201,0,1,400
0.0,true,6.20816E-4,200.0,201,0,1,400
0.0,true,6.33669E-4,200.0,201,0,1,400
0.0,true,6.12166E-4,200.0,201,0,1,400
0.0,true,3.70258E-4,200.0,201,0,1,400
0.0,true,3.33583E-4,200.0,201,0,1,400
0.0,true,3.01515E-4,200.0,201,0,1,400
0.0,true,2.90754E-4,200.0,201,0,1,400
0.0,true,2.89835E-4,200.0,201,0,1,400
0.0,true,2.92919E-4,200.0,201,0,1,400
0.0,true,2.89473E-4,200.0,201,0,1,400
0.0,true,2.81388E-4,200.0,201,0,1,400
0.0,true,2.91192E-4,200.0,201,0,1,400
0.0,true,2.72766E-4,200.0,201,0,1,400
0.0,true,2.77784E-4,200.0,201,0,1,400
0.0,true,2.49083E-4,200.0,201,0,1,400
0.0,true,2.45171E-4,200.0,201,0,1,400
0.0,true,2.46248E-4,200.0,201,0,1,400
0.0,true,2.45126E-4,200.0,201,0,1,400
0.0,true,2.46133E-4,200.0,201,0,1,400
0.0,true,2.46773E-4,200.0,201,0,1,400
0.0,true,1.54625E-4,200.0,201,0,1,400
0.0,true,1.52228E-4,200.0,201,0,1,400
0.0,true,1.54605E-4,200.0,201,0,1,400
0.0,true,1.53468E-4,200.0,201,0,1,400
0.0,true,1.51275E-4,200.0,201,0,1,400
0.0,true,1.53946E-4,200.0,201,0,1,400
0.0,true,1.51272E-4,200.0,201,0,1,400
0.0,true,1.5118E-4,200.0,201,0,1,400
0.0,true,1.4858E-4,200.0,201,0,1,400
0.0,true,1.50348E-4,200.0,201,0,1,400
0.0,true,1.49949E-4,200.0,201,0,1,400
0.0,true,1.49666E-4,200.0,201,0,1,400
0.0,true,1.50033E-4,200.0,201,0,1,400
0.0,true,1.49109E-4,200.0,201,0,1,400
0.0,true,1.49026E-4,200.0,201,0,1,400
0.0,true,1.49348E-4,200.0,201,0,1,400
0.0,true,1.49388E-4,200.0,201,0,1,400
0.0,true,1.49894E-4,200.0,201,0,1,400
0.0,true,1.46036E-4,200.0,201,0,1,400
0.0,true,1.46122E-4,200.0,201,0,1,400
0.0,true,1.45304E-4,200.0,201,0,1,400
0.0,true,1.45504E-4,200.0,201,0,1,400
0.0,true,1.44955E-4,200.0,201,0,1,400
0.0,true,1.4591E-4,200.0,201,0,1,400
0.0,true,1.44797E-4,200.0,201,0,1,400
0.0,true,1.46659E-4,200.0,201,0,1,400
0.0,true,1.453E-4,200.0,201,0,1,400
0.0,true,1.55328E-4,200.0,201,0,1,400
0.0,true,1.63753E-4,200.0,201,0,1,400
0.0,true,1.45801E-4,200.0,201,0,1,400
0.0,true,1.47424E-4,200.0,201,0,1,400
0.0,true,1.46824E-4,200.0,201,0,1,400
0.0,true,1.46116E-4,200.0,201,0,1,400
0.0,true,1.44925E-4,200.0,201,0,1,400
0.0,true,1.44345E-4,200.0,201,0,1,400
0.0,true,1.4801E-4,200.0,201,0,1,400
0.0,true,1.44085E-4,200.0,201,0,1,400
0.0,true,1.44539E-4,200.0,201,0,1,400
0.0,true,1.44259E-4,200.0,201,0,1,400
0.0,true,1.44832E-4,200.0,201,0,1,400
0.0,true,1.46887E-4,200.0,201,0,1,400
0.0,true,1.45782E-4,200.0,201,0,1,400
0.0,true,1.44573E-4,200.0,201,0,1,400
0.0,true,1.46009E-4,200.0,201,0,1,400
0.0,true,1.74633E-4,200.0,201,0,1,400
