probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,355,294,155906,78,330,0.07179852
0.3,355,294,155906,78,330,0.061636465
0.3,355,295,155906,78,330,0.059748275
0.3,355,295,155906,78,330,0.059961041
0.3,355,295,155906,78,330,0.059579982
0.3,9921,10935,1188916,717,5837,0.95798628
0.3,355,294,155906,78,330,0.056614075
0.3,355,294,155906,78,330,0.05776654
0.3,355,294,155906,78,330,0.057871732
0.3,4217,3842,1176782,717,3255,0.547153553
0.3,700,539,322533,207,664,0.116373071
0.3,700,539,322533,207,664,0.115218914
0.3,700,539,322533,207,664,0.115401028
0.3,700,539,322533,207,664,0.115581848
0.3,700,539,322533,207,664,0.116048991
0.3,700,539,322533,207,664,0.115457665
0.3,700,539,322533,207,664,0.114378936
0.3,4090,3074,1097934,754,2812,0.47917241
0.3,700,539,322533,207,664,0.115600827
0.3,700,539,322533,207,664,0.11797575
0.3,2421,1805,948473,558,2144,0.371456132
0.3,2421,1805,948473,558,2144,0.362066141
0.3,2421,1805,948473,558,2144,0.361957706
0.3,3115,2523,1098753,652,2660,0.443903657
0.3,2421,1805,948473,558,2144,0.366929012
0.3,2421,1805,948473,558,2144,0.364392924
0.3,3115,2523,1098753,652,2660,0.44643524
0.3,2421,1805,948473,558,2144,0.365186826
0.3,2421,1805,948473,558,2144,0.364640667
0.3,2421,1805,948473,558,2144,0.366946012
0.3,1767,1159,585282,468,1399,0.224138492
0.3,1767,1159,585282,468,1399,0.223349259
0.3,1767,1159,585282,468,1399,0.222159467
0.3,1767,1159,585282,468,1399,0.224773615
0.3,1767,1159,585282,468,1399,0.225036112
0.3,1767,1159,585282,468,1399,0.222050533
0.3,1767,1159,585282,468,1399,0.224431722
0.3,1767,1159,585282,468,1399,0.223889411
0.3,1767,1159,585282,468,1399,0.22264001
0.3,1767,1159,585282,468,1399,0.223778251
0.3,357,294,180341,91,356,0.062602857
0.3,357,294,180341,91,356,0.063329539
0.3,357,294,180341,91,356,0.063531871
0.3,2313,1979,794335,433,1921,0.325977552
0.3,357,294,180341,91,356,0.06315299
0.3,357,294,180341,91,356,0.063410673
0.3,357,294,180341,91,356,0.062448115
0.3,10695,11616,1167916,701,6069,0.952431376
0.3,357,294,180341,91,356,0.063385472
0.3,10695,11616,1167916,701,6069,0.949565585
0.3,3548,2559,1061864,719,2631,0.437081073
0.3,388,346,221499,106,426,0.077224085
0.3,3450,2433,1061692,719,2575,0.426027635
0.3,388,346,221499,106,426,0.076846997
0.3,8692,8622,1086629,726,4860,0.759294755
0.3,3450,2432,1061692,719,2575,0.430637384
0.3,3548,2558,1061864,719,2631,0.434530607
0.3,8692,8623,1086629,726,4860,0.760295866
0.3,3548,2559,1061864,719,2631,0.434671749
0.3,3450,2431,1061692,719,2575,0.428322436
0.3,4539,4099,1091192,710,3273,0.525996514
0.3,4539,4098,1091192,710,3273,0.535316123
0.3,4539,4097,1091192,710,3273,0.52644174
0.3,8897,8911,1152215,740,5019,0.799323326
0.3,4539,4101,1091192,710,3273,0.527221081
0.3,4539,4098,1091192,710,3273,0.526023708
0.3,4539,4101,1091192,710,3273,0.527647951
0.3,4539,4097,1091192,710,3273,0.525553469
0.3,4539,4099,1091192,710,3273,0.529374933
0.3,8897,8914,1152215,740,5019,0.798487116
0.3,2224,1685,914746,533,2011,0.345044851
0.3,2224,1685,914746,533,2011,0.34586292
0.3,2224,1685,914746,533,2011,0.344101603
0.3,2224,1685,914746,533,2011,0.347587572
0.3,2224,1685,914746,533,2011,0.346136905
0.3,5708,5616,1115771,713,3838,0.609219284
0.3,2224,1685,914746,533,2011,0.344989384
0.3,2224,1685,914746,533,2011,0.345303514
0.3,5708,5616,1115771,713,3838,0.614625047
0.3,2224,1685,914746,533,2011,0.346678416
0.3,380,256,162448,120,331,0.056579187
0.3,380,256,162448,120,331,0.054619512
0.3,380,257,162448,120,331,0.054187085
0.3,380,256,162448,120,331,0.054802261
0.3,380,256,162448,120,331,0.054052897
0.3,5600,3792,993429,752,3015,0.477672394
0.3,380,257,162448,120,331,0.055448047
0.3,380,256,162448,120,331,0.053961225
0.3,380,256,162448,120,331,0.054059457
0.3,380,256,162448,120,331,0.054798586
0.3,13600,14730,1107323,712,7003,1.096234144
0.3,2800,1940,984226,641,2269,0.381169694
0.3,2800,1940,984226,641,2269,0.382010902
0.3,2800,1940,984226,641,2269,0.38055693
0.3,2800,1940,984226,641,2269,0.381541559
0.3,2800,1940,984226,641,2269,0.382211829
0.3,13600,14730,1107323,712,7003,1.089336374
0.3,2800,1941,984226,641,2269,0.380973179
0.3,2800,1940,984226,641,2269,0.382449478
0.3,12158,13018,1104497,712,6440,1.005084347
0.3,1206,901,468221,275,968,0.174017864
0.3,27538,29896,1136822,737,12128,1.898649483
0.3,1206,901,468221,275,968,0.176115784
0.3,1206,901,468221,275,968,0.173610279
0.3,1206,902,468221,275,968,0.173577161
0.3,1206,901,468221,275,968,0.17408482
0.3,1206,901,468221,275,968,0.173788012
0.3,1206,902,468221,275,968,0.174765377
0.3,1206,901,468221,275,968,0.175195458
0.3,1206,902,468221,275,968,0.173730268
0.3,2037,1490,745116,485,1695,0.284059169
0.3,8419,8872,1071459,703,4910,0.772922566
0.3,2037,1490,745116,485,1695,0.285717971
0.3,2037,1490,745116,485,1695,0.285057179
0.3,4933,4588,1060600,701,3425,0.543555141
0.3,2037,1490,745116,485,1695,0.285233324
0.3,2037,1490,745116,485,1695,0.286819154
0.3,2037,1491,745116,485,1695,0.284276662
0.3,2037,1491,745116,485,1695,0.285690294
0.3,2037,1491,745116,485,1695,0.289452984
0.3,2824,2011,942329,616,2194,0.370896743
0.3,2824,2011,942329,616,2194,0.370839812
0.3,2824,2011,942329,616,2194,0.369168604
0.3,2824,2011,942329,616,2194,0.374779555
0.3,10706,12208,1114660,713,6175,0.966343116
0.3,2824,2011,942329,616,2194,0.374995665
0.3,2824,2011,942329,616,2194,0.373185932
0.3,2824,2011,942329,616,2194,0.369761233
0.3,2824,2011,942329,616,2194,0.372676908
0.3,2824,2011,942329,616,2194,0.370356285
0.3,190,84,62670,48,108,0.019878827
0.3,4570,2579,1110426,740,2610,0.449299912
0.3,4570,2579,1110426,740,2610,0.449638659
0.3,4570,2579,1110426,740,2610,0.446835779
0.3,190,84,62670,48,108,0.019871219
0.3,190,84,62670,48,108,0.019931178
0.3,190,84,62670,48,108,0.020747029
0.3,4570,2579,1110426,740,2610,0.450388489
0.3,190,84,62670,48,108,0.019899659
0.3,190,84,62670,48,108,0.0198481
0.3,1989,1203,612200,405,1369,0.23328949
0.3,1989,1203,612200,405,1369,0.232989647
0.3,1989,1203,612200,405,1369,0.231191303
0.3,1989,1203,612200,405,1369,0.23292024
0.3,1989,1203,612200,405,1369,0.234007987
0.3,9401,10131,1157697,708,5479,0.865437654
0.3,1989,1203,612200,405,1369,0.233617967
0.3,1989,1203,612200,405,1369,0.233961359
0.3,1989,1203,612200,405,1369,0.233570273
0.3,1989,1203,612200,405,1369,0.233044495
0.3,371,289,149587,94,323,0.053808828
0.3,371,289,149587,94,323,0.054004693
0.3,371,289,149587,94,323,0.054181177
0.3,371,289,149587,94,323,0.053843308
0.3,5439,4898,1151016,721,3606,0.593671981
0.3,371,289,149587,94,323,0.054224039
0.3,371,289,149587,94,323,0.05440484
0.3,371,289,149587,94,323,0.054273225
0.3,371,289,149587,94,323,0.05371971
0.3,371,289,149587,94,323,0.054098044
0.3,4874,4147,1096087,727,3279,0.528310682
0.3,17352,18382,1124144,727,8329,1.291859389
0.3,832,651,360996,201,747,0.130272093
0.3,832,650,360996,201,747,0.129851535
0.3,832,651,360996,201,747,0.130977268
0.3,832,650,360996,201,747,0.132000573
0.3,832,650,360996,201,747,0.13126631
0.3,832,650,360996,201,747,0.130871995
0.3,4874,4147,1096087,727,3279,0.534703596
0.3,832,650,360996,201,747,0.130158343
0.3,4467,2914,992582,750,2750,0.436233433
0.3,4467,2912,992582,750,2750,0.438902151
0.3,13873,12129,1023896,754,6059,0.930016937
0.3,4467,2914,992582,750,2750,0.437999531
0.3,4467,2915,992582,750,2750,0.436677832
0.3,4467,2915,992582,750,2750,0.437031133
0.3,18241,16579,1034824,754,7603,1.162242735
0.3,4467,2913,992582,750,2750,0.43708886
0.3,13873,12128,1023896,754,6059,0.920509642
