probability,num_steps_taken,num_examinations,num_cells_processed,num_bumps,num_plans,runtime
0.3,1503,1078,2392896,416,1190,0.939844115
0.3,1503,1078,2392896,416,1190,0.949553415
0.3,10251,9211,10736891,1786,7347,5.448616413
0.3,11147,8469,12738932,2251,7780,5.653855195
0.3,11147,8469,12738932,2251,7780,5.651891438
0.3,11147,8469,12738932,2251,7780,5.672939598
0.3,17892,16088,18070407,3001,12618,9.098371918
0.3,24522,24341,18306790,3028,15780,11.010513268
0.3,24522,24339,18306790,3028,15780,10.980115341
0.3,7044,5328,8225404,1581,4985,3.562200964
0.3,7044,5328,8225404,1581,4985,3.570594868
0.3,7044,5328,8225404,1581,4985,3.569029735
0.3,9546,7444,15106132,2363,8073,6.306066665
0.3,9546,7444,15106132,2363,8073,6.322987172
0.3,9546,7446,15106132,2363,8073,6.295678585
0.3,4812,3827,7332329,1153,3880,3.011936624
0.3,4812,3827,7332329,1153,3880,3.010922349
0.3,4812,3826,7332329,1153,3880,3.001304957
0.3,1532,1217,2858443,428,1408,1.083882764
0.3,1532,1217,2858443,428,1408,1.082371075
0.3,1532,1217,2858443,428,1408,1.087104523
0.3,4447,3993,6762087,1014,3703,2.87626357
0.3,4447,3993,6762087,1014,3703,2.860001584
0.3,4447,3994,6762087,1014,3703,2.855551912
0.3,11557,10286,12018900,1857,7977,5.902784231
0.3,29367,31391,19107373,2970,18206,12.898940347
0.3,4075,2993,6638885,1013,3286,2.616871321
0.3,12043,10700,14265586,2246,9102,6.750310909
0.3,12043,10700,14265586,2246,9102,6.705514166
0.3,12043,10700,14265586,2246,9102,6.707144707
0.3,14673,13106,14467511,2426,9949,7.299523044
0.3,14673,13106,14467511,2426,9949,7.303063812
0.3,14673,13106,14467511,2426,9949,7.256350952
0.3,2112,1657,3861237,549,1887,1.47964444
0.3,2112,1657,3861237,549,1887,1.48512203
0.3,2112,1658,3861237,549,1887,1.480463145
0.3,30404,29222,17509687,3008,17021,11.749627894
0.3,30776,29691,17510407,3008,17178,11.823442043
0.3,278,274,651469,90,292,0.236599743
0.3,12559,10107,16808670,2649,9758,7.416951039
0.3,12559,10108,16808670,2649,9758,7.39583149
0.3,12559,10107,16808670,2649,9758,7.368569539
0.3,10620,9155,12290027,2044,7768,5.695862087
0.3,10620,9155,12290027,2044,7768,5.689183202
0.3,10620,9155,12290027,2044,7768,5.674772247
0.3,29554,29755,17949114,3031,17283,11.960886182
0.3,20636,19473,17684110,2996,13672,9.668055522
0.3,20636,19474,17684110,2996,13672,9.68284941
0.3,21092,19171,17835456,2969,13693,9.667911699
0.3,8468,6332,13797975,2254,7331,5.614985867
0.3,8468,6331,13797975,2254,7331,5.615143924
0.3,37996,40210,17010900,2979,20870,13.962514123
0.3,1262,937,1985301,377,1078,0.750520637
0.3,1262,937,1985301,377,1078,0.748337885
0.3,8566,6810,10916519,1733,6314,4.757188189
0.3,8566,6810,10916519,1733,6314,4.755458563
0.3,8566,6810,10916519,1733,6314,4.742255397
0.3,16923,16024,17331627,2842,12362,8.858411782
0.3,2977,2210,4192207,728,2204,1.64770089
0.3,2977,2210,4192207,728,2204,1.646409665
0.3,4654,3629,7642700,1197,3941,3.031401758
0.3,4654,3629,7642700,1197,3941,3.021185234
0.3,4654,3629,7642700,1197,3941,3.025552766
0.3,7133,5966,10525827,1651,5923,4.476916065
0.3,7133,5966,10525827,1651,5923,4.471527456
0.3,7133,5967,10525827,1651,5923,4.46617694
0.3,17615,17045,16016997,2487,11937,8.597583046
0.3,14857,13848,16011048,2487,10816,7.927032474
0.3,36177,38398,18525184,2934,20376,14.010364374
0.3,1042,850,1742941,303,946,0.667491291
0.3,1042,850,1742941,303,946,0.665352921
0.3,1042,850,1742941,303,946,0.667191249
0.3,16494,14479,17678882,2873,11873,8.572194158
0.3,28864,29632,18431888,2989,17442,12.080189909
0.3,55552,61042,18492821,2989,28330,18.904461023
0.3,7262,5883,11392928,1724,6035,4.737406155
0.3,7262,5883,11392928,1724,6035,4.71831369
0.3,23522,23636,19475113,3004,15581,11.142232623
0.3,7205,5812,10165915,1732,5829,4.289731405
0.3,7205,5812,10165915,1732,5829,4.296125634
0.3,14815,13289,14524980,2505,10363,7.374930745
0.3,9626,8468,10258592,1703,6819,4.91303114
0.3,9626,8468,10258592,1703,6819,4.885256036
0.3,27482,27911,17841521,2922,16690,11.516758758
0.3,8460,7040,10083687,1606,6029,4.475910312
0.3,8460,7040,10083687,1606,6029,4.47708955
0.3,8460,7040,10083687,1606,6029,4.470726547
0.3,29184,30928,18642797,2966,18005,12.473786043
0.3,42974,47214,18675442,2966,23837,15.933535689
0.3,29184,30926,18642797,2966,18005,12.41322818
0.3,15530,14265,17774025,2900,11780,8.54093638
