Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.027109721,200.0,201,0,1,400
0.0,true,0.004575559,200.0,201,0,1,400
0.0,true,0.002872773,200.0,201,0,1,400
0.0,true,0.004097011,200.0,201,0,1,400
0.0,true,0.004138734,200.0,201,0,1,400
0.0,true,0.004394801,200.0,201,0,1,400
0.0,true,0.004057785,200.0,201,0,1,400
0.0,true,0.003968438,200.0,201,0,1,400
0.0,true,0.00393532,200.0,201,0,1,400
0.0,true,0.003850301,200.0,201,0,1,400
0.0,true,0.003890933,200.0,201,0,1,400
0.0,true,0.003891363,200.0,201,0,1,400
0.0,true,0.003875566,200.0,201,0,1,400
0.0,true,0.00384026,200.0,201,0,1,400
0.0,true,0.00386748,200.0,201,0,1,400
0.0,true,0.002357551,200.0,201,0,1,400
0.0,true,0.003580287,200.0,201,0,1,400
0.0,true,0.003602575,200.0,201,0,1,400
0.0,true,0.00357276,200.0,201,0,1,400
0.0,true,0.003581729,200.0,201,0,1,400
0.0,true,0.003560299,200.0,201,0,1,400
0.0,true,0.003553471,200.0,201,0,1,400
0.0,true,0.003566583,200.0,201,0,1,400
0.0,true,0.00348278,200.0,201,0,1,400
0.0,true,0.003490206,200.0,201,0,1,400
0.0,true,0.003481487,200.0,201,0,1,400
0.0,true,0.003487193,200.0,201,0,1,400
0.0,true,0.003475707,200.0,201,0,1,400
0.0,true,0.002427792,200.0,201,0,1,400
0.0,true,0.003427322,200.0,201,0,1,400
0.0,true,0.003431097,200.0,201,0,1,400
0.0,true,0.003436754,200.0,201,0,1,400
0.0,true,0.003400836,200.0,201,0,1,400
0.0,true,0.003393791,200.0,201,0,1,400
0.0,true,0.003396675,200.0,201,0,1,400
0.0,true,0.003397826,200.0,201,0,1,400
0.0,true,0.003433965,200.0,201,0,1,400
0.0,true,0.003444193,200.0,201,0,1,400
0.0,true,0.003397701,200.0,201,0,1,400
0.0,true,0.003406175,200.0,201,0,1,400
0.0,true,0.003394414,200.0,201,0,1,400
0.0,true,0.00239662,200.0,201,0,1,400
0.0,true,0.003339493,200.0,201,0,1,400
0.0,true,0.003318386,200.0,201,0,1,400
0.0,true,0.003320889,200.0,201,0,1,400
0.0,true,0.003312483,200.0,201,0,1,400
0.0,true,0.0033208,200.0,201,0,1,400
0.0,true,0.003309731,200.0,201,0,1,400
0.0,true,0.003315278,200.0,201,0,1,400
0.0,true,0.003316095,200.0,201,0,1,400
0.0,true,0.003341426,200.0,201,0,1,400
0.0,true,0.003373457,200.0,201,0,1,400
0.0,true,0.003359308,200.0,201,0,1,400
0.0,true,0.003361878,200.0,201,0,1,400
0.0,true,0.002520326,200.0,201,0,1,400
0.0,true,0.003352138,200.0,201,0,1,400
0.0,true,0.003343057,200.0,201,0,1,400
0.0,true,0.003319415,200.0,201,0,1,400
0.0,true,0.003319902,200.0,201,0,1,400
0.0,true,0.003348775,200.0,201,0,1,400
0.0,true,0.003322899,200.0,201,0,1,400
0.0,true,0.003384124,200.0,201,0,1,400
0.0,true,0.003312132,200.0,201,0,1,400
0.0,true,0.003381079,200.0,201,0,1,400
0.0,true,0.00335427,200.0,201,0,1,400
0.0,true,0.003345331,200.0,201,0,1,400
0.0,true,0.003333981,200.0,201,0,1,400
0.0,true,0.002864183,200.0,201,0,1,400
0.0,true,0.003626348,200.0,201,0,1,400
0.0,true,0.00364143,200.0,201,0,1,400
0.0,true,0.00375096,200.0,201,0,1,400
0.0,true,0.003311693,200.0,201,0,1,400
0.0,true,0.003309836,200.0,201,0,1,400
0.0,true,0.003318475,200.0,201,0,1,400
0.0,true,0.003323755,200.0,201,0,1,400
0.0,true,0.003309907,200.0,201,0,1,400
0.0,true,0.003352214,200.0,201,0,1,400
0.0,true,0.003445171,200.0,201,0,1,400
0.0,true,0.003316903,200.0,201,0,1,400
0.0,true,0.003317015,200.0,201,0,1,400
0.0,true,0.003320183,200.0,201,0,1,400
0.0,true,0.003414901,200.0,201,0,1,400
0.0,true,0.004374222,200.0,201,0,1,400
0.0,true,0.003353812,200.0,201,0,1,400
0.0,true,0.003354822,200.0,201,0,1,400
0.0,true,0.003317718,200.0,201,0,1,400
0.0,true,0.00331168,200.0,201,0,1,400
0.0,true,0.003381343,200.0,201,0,1,400
0.0,true,0.003364733,200.0,201,0,1,400
0.0,true,0.003349457,200.0,201,0,1,400
0.0,true,0.003310516,200.0,201,0,1,400
0.0,true,0.003372735,200.0,201,0,1,400
0.0,true,0.003320951,200.0,201,0,1,400
0.0,true,0.003323893,200.0,201,0,1,400
0.0,true,0.003329716,200.0,201,0,1,400
0.0,true,0.00353655,200.0,201,0,1,400
0.0,true,0.003317018,200.0,201,0,1,400
0.0,true,0.003320747,200.0,201,0,1,400
0.0,true,0.002862244,200.0,201,0,1,400
0.0,true,0.003399725,200.0,201,0,1,400
1.0,true,0.018276701,202.0,343,2,3,414
1.0,true,0.193456437,204.0,452,3,4,499
1.0,true,0.130625029,200.0,500,2,3,452
1.0,true,0.008805921,202.0,264,1,2,405
1.0,true,0.008604464,202.0,227,1,2,405
1.0,true,0.098439111,202.0,364,1,3,458
1.0,true,0.00845913,200.0,201,0,1,400
1.0,true,0.009482492,200.0,352,1,2,450
1.0,true,0.130891141,202.0,644,3,4,500
1.0,true,0.02918128,204.0,460,3,4,473
1.0,true,0.029939911,200.0,787,4,5,493
1.0,true,0.105993509,200.0,631,3,4,495
1.0,true,0.008070305,200.0,201,0,1,400
1.0,true,0.151165688,202.0,395,3,4,478
1.0,true,0.008669587,200.0,453,1,3,442
1.0,true,0.008231295,202.0,253,1,2,405
1.0,true,0.008081418,202.0,269,1,2,405
1.0,true,0.010019145,200.0,435,2,3,424
1.0,true,0.039020721,202.0,586,3,4,465
1.0,true,0.008051955,200.0,201,0,1,400
1.0,true,0.008274121,200.0,201,0,1,400
1.0,true,0.032112821,200.0,349,1,2,445
1.0,true,0.008507566,202.0,283,1,2,405
1.0,true,0.034279186,200.0,501,2,3,473
1.0,true,0.035627604,202.0,511,3,4,478
1.0,true,0.00863772,200.0,350,1,2,448
1.0,true,0.008657497,200.0,359,1,2,457
1.0,true,0.008572818,200.0,201,0,1,400
1.0,true,0.03822368,200.0,522,2,3,481
1.0,true,0.038182566,202.0,481,3,4,457
1.0,true,0.026583195,202.0,608,3,4,477
1.0,true,0.007952616,200.0,201,0,1,400
1.0,true,0.034558839,202.0,739,4,5,486
1.0,true,0.03850771,206.0,640,5,6,482
1.0,true,0.041346655,200.0,357,1,2,453
1.0,true,0.008479965,204.0,229,2,3,409
1.0,true,0.008723075,206.0,593,4,5,510
1.0,true,0.008286872,202.0,346,2,3,441
1.0,true,0.008380039,206.0,361,3,4,414
1.0,true,0.008355262,202.0,232,1,2,405
1.0,true,0.035674104,200.0,369,1,2,465
1.0,true,0.032126599,206.0,496,4,5,476
1.0,true,0.008318592,202.0,367,2,3,440
1.0,true,0.03710973,200.0,609,3,4,449
1.0,true,0.04184112,202.0,494,3,4,448
1.0,true,0.008088781,200.0,201,0,1,400
1.0,true,0.040793837,204.0,1013,6,7,502
1.0,true,0.008337843,204.0,264,0,2,410
1.0,true,0.008321377,202.0,299,1,2,405
1.0,true,0.025100409,202.0,451,2,3,487
1.0,true,0.035062243,200.0,336,1,2,432
1.0,true,0.008289947,202.0,409,2,3,471
1.0,true,0.008307701,202.0,262,1,2,405
1.0,true,0.008164834,202.0,225,1,2,405
1.0,true,0.008340562,202.0,328,2,3,416
1.0,true,0.008117654,200.0,318,1,2,416
1.0,true,0.034081936,200.0,359,1,2,455
1.0,true,0.008678248,200.0,201,0,1,400
1.0,true,0.035648517,202.0,397,2,3,477
1.0,true,0.008162337,202.0,229,1,2,405
1.0,true,0.008181203,202.0,273,1,2,405
1.0,true,0.008020255,200.0,201,0,1,400
1.0,true,0.008679757,204.0,303,2,3,410
1.0,true,0.114207189,206.0,526,4,5,485
1.0,true,0.03534225,202.0,422,2,3,448
1.0,true,0.030850016,204.0,670,4,5,460
1.0,true,0.008441227,204.0,362,2,3,410
1.0,true,0.008568111,204.0,470,3,4,420
1.0,true,0.009390988,202.0,614,3,4,495
1.0,true,0.008153934,202.0,299,1,2,405
1.0,true,0.008023716,202.0,250,1,2,405
1.0,true,0.008113158,202.0,257,1,2,405
1.0,true,0.163459154,202.0,569,3,4,474
1.0,true,0.035199845,202.0,591,4,5,473
1.0,true,0.008510461,202.0,360,2,3,445
1.0,true,0.008494226,202.0,243,1,2,405
1.0,true,0.007890982,200.0,201,0,1,400
1.0,true,0.008268545,200.0,201,0,1,400
1.0,true,0.0081274,202.0,234,1,2,405
1.0,true,0.089038875,200.0,388,1,2,482
1.0,true,0.008094895,200.0,303,1,2,401
1.0,true,0.037697707,204.0,512,3,4,464
1.0,true,0.152409207,204.0,359,3,4,427
1.0,true,0.031730123,204.0,775,5,6,477
1.0,true,0.117894282,204.0,651,4,5,499
1.0,true,0.009972061,206.0,927,8,9,451
1.0,true,0.008234657,200.0,201,0,1,400
1.0,true,0.008814304,204.0,413,3,4,416
1.0,true,0.009192628,200.0,764,3,4,491
1.0,true,0.026696737,204.0,490,3,4,421
1.0,true,0.008287271,202.0,298,1,2,405
1.0,true,0.086621144,206.0,498,3,5,457
1.0,true,0.114239775,208.0,603,4,5,501
1.0,true,0.032512165,202.0,928,5,6,505
1.0,true,0.186552463,202.0,788,4,5,499
1.0,true,0.008092082,200.0,201,0,1,400
1.0,true,0.008425332,202.0,273,1,2,405
1.0,true,0.00889096,204.0,376,3,4,447
1.0,true,0.008055805,200.0,201,0,1,400
1.0,true,0.175065189,204.0,483,3,4,490
2.0,true,0.090197554,204.0,511,3,4,431
2.0,true,0.167051082,204.0,854,5,6,484
2.0,true,0.008550738,202.0,241,1,2,405
2.0,true,0.008284797,202.0,259,1,2,405
2.0,true,0.333865438,210.0,1523,12,13,498
2.0,true,0.008582613,202.0,342,2,3,439
2.0,true,0.138511256,200.0,352,1,2,444
2.0,true,0.172581972,204.0,572,4,5,451
2.0,true,0.008818863,204.0,357,2,3,410
2.0,true,0.041326306,204.0,743,5,6,465
2.0,true,0.009669066,210.0,538,5,6,422
2.0,true,0.176453666,204.0,922,6,7,483
2.0,true,0.13838716,202.0,467,2,3,459
2.0,true,0.222404546,206.0,514,4,5,462
2.0,true,0.34095731,208.0,820,6,7,510
2.0,true,0.098947349,206.0,704,6,7,463
2.0,true,0.172868732,202.0,434,2,3,471
2.0,true,0.212578705,204.0,596,4,5,497
2.0,true,0.009377353,206.0,279,3,4,416
2.0,true,0.043534884,206.0,643,5,6,471
2.0,true,0.039223563,200.0,357,1,2,453
2.0,true,0.171541597,202.0,563,3,4,499
2.0,true,0.122923925,214.0,968,8,10,506
2.0,true,0.099735844,204.0,597,4,5,475
2.0,true,0.214354116,206.0,608,5,6,464
2.0,true,0.203454122,202.0,559,3,4,497
2.0,true,0.295268516,206.0,768,6,7,508
2.0,true,0.168894734,204.0,583,4,5,489
2.0,true,0.113558195,210.0,615,6,7,471
2.0,true,0.033760853,202.0,784,5,6,486
2.0,true,0.241474516,202.0,493,3,4,445
2.0,true,0.185640613,202.0,495,2,3,497
2.0,true,0.008963292,202.0,446,3,4,413
2.0,true,0.032232506,206.0,433,2,4,441
2.0,true,0.260969825,204.0,636,4,5,481
2.0,true,0.009235702,206.0,436,3,4,416
2.0,true,0.041141874,206.0,680,5,6,495
2.0,true,0.100828326,200.0,386,1,2,480
2.0,true,0.295301313,206.0,554,4,5,496
2.0,true,0.10459099,200.0,492,2,3,483
2.0,true,0.028612119,202.0,435,2,3,459
2.0,true,0.039383689,202.0,598,4,5,461
2.0,true,0.12238968,208.0,565,4,6,504
2.0,true,0.050250633,204.0,640,2,4,504
2.0,true,0.135743889,202.0,355,2,3,430
2.0,true,0.040273175,200.0,483,2,3,470
2.0,true,0.213889441,206.0,569,5,6,469
2.0,true,0.141742706,202.0,393,2,3,453
2.0,true,0.010935858,210.0,1198,9,10,518
2.0,true,0.256383985,202.0,537,3,4,491
2.0,true,0.032142113,200.0,646,3,4,479
2.0,true,0.009049915,204.0,547,4,5,412
2.0,true,0.00867744,202.0,240,1,2,405
2.0,true,0.344409301,206.0,544,4,5,487
2.0,true,0.033516486,206.0,408,4,5,440
2.0,true,0.039139032,208.0,566,5,6,435
2.0,true,0.008838834,204.0,284,2,3,410
2.0,true,0.008696971,204.0,364,2,3,410
2.0,true,0.034214689,204.0,967,6,7,500
2.0,true,0.095841931,202.0,521,3,4,466
2.0,true,0.009239725,208.0,421,3,5,428
2.0,true,0.361291174,204.0,778,5,6,488
2.0,true,0.276016123,204.0,749,5,6,492
2.0,true,0.03225531,206.0,549,5,6,441
2.0,true,0.279684809,204.0,947,6,7,497
2.0,true,0.281204508,208.0,784,6,7,467
2.0,true,0.09804736,206.0,719,5,6,506
2.0,true,0.00845313,202.0,396,2,3,411
2.0,true,0.007010669,204.0,548,4,5,439
2.0,true,0.046058251,210.0,609,7,8,471
2.0,true,0.180840666,204.0,866,6,7,486
2.0,true,0.201214364,202.0,908,6,7,474
2.0,true,0.277854262,208.0,807,5,6,495
2.0,true,0.193172805,204.0,604,4,5,494
2.0,true,0.008703194,204.0,384,2,3,410
2.0,true,0.245626932,208.0,693,4,5,478
2.0,true,0.04694287,206.0,635,5,6,463
2.0,true,0.240166674,204.0,814,6,7,491
2.0,true,0.264833327,206.0,657,5,6,479
2.0,true,0.03329692,202.0,560,3,4,458
2.0,true,0.173540023,206.0,1208,8,9,510
2.0,true,0.158812122,202.0,606,3,4,482
2.0,true,0.028229114,202.0,403,2,3,428
2.0,true,0.008470753,204.0,334,2,3,410
2.0,true,0.248071283,204.0,690,4,5,486
2.0,true,0.221230035,210.0,595,4,5,469
2.0,true,0.046054617,204.0,747,5,6,499
2.0,true,0.009250205,208.0,395,4,5,420
2.0,true,0.142064331,200.0,376,1,2,468
2.0,true,0.114992619,204.0,1069,7,8,495
2.0,true,0.029191695,200.0,767,4,5,467
2.0,true,0.037185505,202.0,381,2,3,453
2.0,true,0.028283816,206.0,550,4,5,428
2.0,true,0.008540919,202.0,270,1,2,405
2.0,true,0.1118219,204.0,507,3,4,492
2.0,true,0.010906982,204.0,778,6,7,454
2.0,true,0.348949389,202.0,655,4,5,463
2.0,true,0.111865414,202.0,573,3,4,457
2.0,true,0.00952163,204.0,344,3,4,414
2.0,true,0.134122952,206.0,522,3,5,449
3.0,true,0.271185258,204.0,536,4,5,460
3.0,true,0.048881473,204.0,724,5,6,462
3.0,true,0.27465403,204.0,1106,7,8,493
3.0,true,0.258794001,206.0,533,4,5,502
3.0,true,0.359433968,204.0,516,3,4,485
3.0,true,0.033854417,204.0,641,5,6,444
3.0,true,0.369965853,208.0,1190,9,10,499
3.0,true,0.092442694,202.0,862,5,6,485
3.0,true,0.286246581,208.0,1029,8,9,501
3.0,true,0.161381567,206.0,612,4,5,505
3.0,true,0.471460126,214.0,816,5,8,512
3.0,true,0.121369434,202.0,698,4,5,479
3.0,true,0.038328322,206.0,941,6,7,464
3.0,true,0.173182633,210.0,1182,9,10,507
3.0,true,0.591920754,208.0,1063,6,8,500
3.0,true,0.088296471,202.0,431,2,3,450
3.0,true,0.482222583,208.0,1701,13,14,509
3.0,true,0.155597647,208.0,456,6,7,456
3.0,true,0.011642918,208.0,805,6,7,481
3.0,true,0.027262095,206.0,494,4,5,420
3.0,true,0.318962914,208.0,1169,9,10,508
3.0,true,0.110888178,202.0,1028,6,7,486
3.0,true,0.167517285,206.0,940,6,7,498
3.0,true,0.225024471,202.0,499,3,4,452
3.0,true,0.154578846,210.0,551,4,5,476
3.0,true,0.483833529,208.0,1343,11,12,496
3.0,true,0.157783408,204.0,441,3,4,456
3.0,true,0.055488775,204.0,827,6,7,496
3.0,true,0.329346735,206.0,777,5,6,488
3.0,true,0.31887567,206.0,1011,8,10,480
3.0,true,0.165894304,206.0,673,5,6,496
3.0,true,0.39599976,202.0,692,4,5,475
3.0,true,0.412323721,202.0,542,3,4,454
3.0,true,0.539941565,208.0,924,8,9,504
3.0,true,0.334108334,210.0,891,8,9,481
3.0,true,0.537820296,206.0,784,6,7,496
3.0,true,0.240148846,214.0,996,8,10,474
3.0,true,0.581249212,208.0,1132,9,10,490
3.0,true,0.202240015,204.0,677,5,6,467
3.0,true,0.251603927,204.0,534,3,4,477
3.0,true,0.302034053,206.0,725,6,7,502
3.0,true,0.27574303,204.0,766,5,6,486
3.0,true,0.01035983,208.0,439,3,4,432
3.0,true,0.300604492,204.0,1045,7,8,475
3.0,true,0.338243302,214.0,773,8,10,462
3.0,true,0.34743844,206.0,740,6,7,485
3.0,true,0.326398228,206.0,542,4,5,479
3.0,true,0.410897465,208.0,1174,8,9,495
3.0,true,0.233798039,206.0,517,4,5,482
3.0,true,0.315027098,206.0,1050,8,9,503
3.0,true,0.28022777,214.0,918,9,10,476
3.0,true,0.340438361,210.0,532,4,5,491
3.0,true,0.342699435,220.0,1327,13,14,513
3.0,true,0.041870141,208.0,612,7,8,441
3.0,true,0.108037441,206.0,972,6,8,488
3.0,true,0.248821701,202.0,918,5,6,494
3.0,true,0.382621953,204.0,509,3,4,490
3.0,true,0.259566507,206.0,724,5,6,460
3.0,true,0.2215267,206.0,1170,8,9,494
3.0,true,0.289604767,200.0,871,5,6,471
3.0,true,0.330107444,202.0,633,3,4,494
3.0,true,0.049463429,210.0,834,6,7,448
3.0,true,0.226913921,216.0,1232,11,12,507
3.0,true,0.171674315,206.0,911,5,7,504
3.0,true,0.285003479,206.0,1278,8,9,502
3.0,true,0.281871772,208.0,988,8,9,505
3.0,true,0.265488833,206.0,991,7,8,501
3.0,true,0.241158714,204.0,803,5,6,489
3.0,true,0.010894756,204.0,1010,7,8,481
3.0,true,0.256826767,208.0,965,6,7,473
3.0,true,0.302689114,202.0,764,5,6,496
3.0,true,0.212686453,206.0,599,5,6,463
3.0,true,0.508513374,204.0,605,2,4,490
3.0,true,0.3636588,206.0,445,2,4,467
3.0,true,0.378303498,204.0,557,4,5,473
3.0,true,0.251667895,206.0,983,8,9,505
