Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,3.541E-4,18.0,19,0,1,36
0.0,true,2.448E-4,18.0,19,0,1,36
0.0,true,1.491E-4,18.0,19,0,1,36
0.0,true,2.058E-4,18.0,19,0,1,36
0.0,true,2.352E-4,18.0,19,0,1,36
0.0,true,1.5E-4,18.0,19,0,1,36
0.0,true,1.637E-4,18.0,19,0,1,36
0.0,true,1.227E-4,18.0,19,0,1,36
0.0,true,0.0010267,18.0,19,0,1,36
0.0,true,1.963E-4,18.0,19,0,1,36
1.0,true,1.042E-4,18.0,19,0,1,36
1.0,true,7.02E-5,18.0,19,0,1,36
1.0,true,1.208E-4,18.0,19,0,1,36
1.0,true,3.653E-4,18.0,19,0,1,36
1.0,true,2.192E-4,18.0,19,0,1,36
1.0,true,1.009E-4,18.0,19,0,1,36
1.0,true,1.056E-4,18.0,19,0,1,36
1.0,true,1.165E-4,18.0,19,0,1,36
1.0,true,1.073E-4,18.0,19,0,1,36
1.0,true,1.076E-4,18.0,19,0,1,36
2.0,true,6.63E-5,18.0,19,0,1,36
2.0,true,1.455E-4,20.0,43,0,3,44
2.0,true,1.543E-4,22.0,33,0,3,43
2.0,true,3.292E-4,20.0,30,0,2,38
2.0,true,3.109E-4,20.0,30,0,2,38
2.0,true,5.68E-5,18.0,19,0,1,36
2.0,true,5.38E-5,18.0,19,0,1,36
2.0,true,1.821E-4,18.0,33,0,2,39
2.0,true,5.78E-5,18.0,19,0,1,44
2.0,true,1.111E-4,18.0,19,0,1,36
3.0,true,5.68E-5,18.0,19,0,1,36
3.0,true,8.8E-5,18.0,37,0,2,43
3.0,true,6.28E-5,20.0,26,0,2,39
3.0,true,5.2E-5,18.0,19,0,1,36
3.0,true,5.21E-5,18.0,19,0,1,36
3.0,true,5.49E-5,18.0,19,0,1,36
3.0,true,4.85E-5,18.0,19,0,1,36
3.0,true,9.0E-5,20.0,45,0,3,45
3.0,true,5.07E-5,18.0,19,0,1,36
3.0,true,4.88E-5,18.0,19,0,1,36
4.0,true,1.081E-4,22.0,47,0,3,48
4.0,true,4.359E-4,18.0,19,0,1,36
4.0,true,3.208E-4,20.0,30,0,2,38
4.0,true,8.04E-5,18.0,19,0,1,36
4.0,true,4.54E-5,18.0,19,0,1,36
4.0,true,5.69E-5,20.0,28,0,2,39
4.0,true,5.39E-5,18.0,19,0,1,36
4.0,true,4.74E-5,18.0,19,0,1,36
4.0,true,7.05E-5,18.0,33,0,2,39
4.0,true,5.58E-5,18.0,19,0,1,36
5.0,true,9.25E-5,18.0,50,0,3,43
5.0,true,4.87E-5,20.0,24,0,2,39
5.0,true,8.3E-5,22.0,37,0,3,40
5.0,true,7.35E-5,22.0,35,0,3,44
5.0,true,4.93E-5,18.0,19,0,1,36
5.0,true,7.25E-5,24.0,31,0,2,44
5.0,true,4.3E-5,18.0,19,0,1,36
5.0,true,3.85E-5,18.0,19,0,1,36
5.0,true,5.32E-5,18.0,31,0,2,37
5.0,true,2.487E-4,18.0,19,0,1,36
6.0,true,4.89E-5,18.0,19,0,1,44
6.0,true,4.57E-5,20.0,28,0,2,39
6.0,true,4.45E-5,18.0,19,0,1,36
6.0,true,7.05E-5,24.0,49,0,3,51
6.0,true,3.55E-5,20.0,29,0,2,39
6.0,true,4.0E-5,18.0,19,0,1,36
6.0,true,3.33E-5,20.0,25,0,2,39
6.0,true,8.39E-5,18.0,35,0,2,41
6.0,true,8.19E-5,20.0,49,0,3,44
6.0,true,5.82E-5,18.0,30,0,2,36
7.0,true,1.288E-4,20.0,46,0,4,41
7.0,true,4.94E-5,18.0,19,0,1,36
7.0,true,4.78E-5,18.0,19,0,1,36
7.0,true,8.42E-5,18.0,33,0,2,39
7.0,true,6.24E-5,22.0,36,0,3,40
