Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,6.644E-4,18.0,19,0,1,36
0.0,true,5.453E-4,18.0,19,0,1,36
0.0,true,0.0011972,18.0,19,0,1,36
0.0,true,6.813E-4,18.0,19,0,1,36
0.0,true,5.448E-4,18.0,19,0,1,36
0.0,true,0.001518,18.0,19,0,1,36
0.0,true,5.702E-4,18.0,19,0,1,36
0.0,true,0.0012475,18.0,19,0,1,36
0.0,true,4.798E-4,18.0,19,0,1,36
0.0,true,4.692E-4,18.0,19,0,1,36
1.0,true,4.856E-4,18.0,19,0,1,36
1.0,true,2.904E-4,18.0,19,0,1,36
1.0,true,2.917E-4,18.0,19,0,1,36
1.0,true,3.712E-4,18.0,19,0,1,36
1.0,true,3.169E-4,18.0,19,0,1,36
1.0,true,2.76E-4,18.0,19,0,1,36
1.0,true,3.237E-4,18.0,19,0,1,36
1.0,true,5.887E-4,18.0,19,0,1,36
1.0,true,2.581E-4,18.0,19,0,1,36
1.0,true,2.676E-4,18.0,19,0,1,36
2.0,true,7.818E-4,18.0,19,0,1,36
2.0,true,0.0152976,20.0,43,2,3,42
2.0,true,6.892E-4,22.0,29,0,2,44
2.0,true,2.698E-4,20.0,30,1,2,39
2.0,true,2.782E-4,20.0,30,1,2,39
2.0,true,4.853E-4,18.0,19,0,1,36
2.0,true,4.034E-4,18.0,19,0,1,36
2.0,true,2.87E-4,18.0,33,1,2,40
2.0,true,0.0018818,18.0,38,1,2,42
2.0,true,2.513E-4,18.0,19,0,1,36
3.0,true,3.226E-4,18.0,19,0,1,36
3.0,true,3.293E-4,18.0,37,1,2,44
3.0,true,2.902E-4,20.0,26,1,2,41
3.0,true,2.218E-4,18.0,19,0,1,36
3.0,true,0.0010924,18.0,19,0,1,36
3.0,true,2.573E-4,18.0,19,0,1,36
3.0,true,1.345E-4,18.0,19,0,1,36
3.0,true,0.001172,20.0,45,2,3,47
3.0,true,2.427E-4,18.0,19,0,1,36
3.0,true,2.877E-4,18.0,19,0,1,36
4.0,true,0.0128532,22.0,65,3,4,45
4.0,true,1.537E-4,18.0,19,0,1,36
4.0,true,2.855E-4,20.0,30,1,2,39
4.0,true,1.694E-4,18.0,19,0,1,36
4.0,true,2.241E-4,18.0,19,0,1,36
4.0,true,3.224E-4,20.0,28,1,2,41
4.0,true,1.726E-4,18.0,19,0,1,36
4.0,true,2.943E-4,18.0,19,0,1,36
4.0,true,2.814E-4,18.0,33,1,2,40
4.0,true,3.654E-4,18.0,19,0,1,36
5.0,true,4.075E-4,18.0,69,2,4,45
5.0,true,2.748E-4,20.0,24,1,2,40
5.0,true,4.078E-4,22.0,37,1,3,43
5.0,true,3.602E-4,22.0,35,2,3,47
5.0,true,4.303E-4,18.0,19,0,1,36
5.0,true,2.517E-4,24.0,31,1,2,46
5.0,true,1.653E-4,18.0,19,0,1,36
5.0,true,1.624E-4,18.0,19,0,1,36
5.0,true,3.586E-4,18.0,31,1,2,38
5.0,true,2.113E-4,18.0,19,0,1,36
6.0,true,0.0038332,18.0,38,1,2,40
6.0,true,2.707E-4,20.0,28,1,2,41
6.0,true,2.411E-4,18.0,19,0,1,36
6.0,true,0.0017877,24.0,49,2,3,52
6.0,true,0.0011866,20.0,29,1,2,37
6.0,true,9.28E-5,18.0,19,0,1,36
6.0,true,4.461E-4,20.0,25,1,2,41
6.0,true,2.476E-4,18.0,35,1,2,42
6.0,true,0.001738,20.0,60,3,4,47
6.0,true,2.93E-4,18.0,30,1,2,37
7.0,true,4.605E-4,20.0,46,3,4,43
7.0,true,1.855E-4,18.0,19,0,1,36
7.0,true,1.967E-4,18.0,19,0,1,36
7.0,true,0.0017076,18.0,33,1,2,38
7.0,true,3.001E-4,22.0,36,1,3,42
7.0,true,4.075E-4,20.0,50,3,4,47
7.0,true,0.0048634,20.0,68,3,4,45
7.0,true,3.799E-4,18.0,56,1,3,44
7.0,true,4.526E-4,18.0,32,1,2,39
7.0,true,0.0010812,20.0,29,1,2,37
8.0,true,2.273E-4,18.0,35,1,2,42
8.0,true,0.0016839,20.0,47,2,3,45
8.0,true,0.0016903,20.0,43,2,3,47
8.0,true,2.12E-4,18.0,19,0,1,36
8.0,true,3.801E-4,18.0,30,1,2,37
8.0,true,3.947E-4,18.0,33,1,2,40
8.0,true,4.513E-4,18.0,35,1,2,42
8.0,true,1.715E-4,18.0,19,0,1,36
8.0,true,0.0023485,20.0,59,3,4,50
8.0,true,0.0021514,20.0,55,3,4,45
9.0,true,0.0014125,18.0,46,1,3,45
9.0,true,2.349E-4,18.0,19,0,1,36
9.0,true,3.188E-4,18.0,33,1,2,40
9.0,true,7.298E-4,20.0,52,3,4,46
9.0,true,9.739E-4,18.0,49,2,3,43
9.0,true,5.067E-4,18.0,30,1,2,37
9.0,true,3.34E-4,20.0,27,1,2,41
9.0,true,0.0021385,18.0,36,1,2,41
9.0,true,1.104E-4,18.0,19,0,1,36
9.0,true,3.541E-4,18.0,52,2,4,43
10.0,true,2.696E-4,22.0,34,0,2,44
10.0,true,6.21E-4,20.0,41,0,3,41
10.0,true,4.209E-4,20.0,31,0,2,38
10.0,true,0.0016686,18.0,38,1,2,42
10.0,true,0.0013889,20.0,26,1,2,41
10.0,true,1.508E-4,18.0,19,0,1,36
10.0,true,7.044E-4,22.0,71,4,5,50
10.0,true,2.264E-4,20.0,37,2,3,42
10.0,true,1.939E-4,20.0,31,0,2,38
10.0,true,3.82E-4,20.0,26,1,2,41
11.0,true,5.244E-4,20.0,53,3,4,47
11.0,true,0.0010778,24.0,62,3,4,53
11.0,true,0.001339,26.0,71,4,5,57
11.0,true,4.454E-4,20.0,29,1,2,40
11.0,true,2.181E-4,18.0,47,2,3,45
11.0,true,0.003743,20.0,44,2,3,42
11.0,true,2.311E-4,20.0,26,1,2,41
11.0,true,4.101E-4,18.0,31,1,2,38
11.0,true,5.572E-4,20.0,68,2,4,47
11.0,true,2.389E-4,20.0,27,1,2,41
12.0,true,3.485E-4,18.0,19,0,1,36
12.0,true,3.106E-4,20.0,24,1,2,40
12.0,true,1.699E-4,18.0,19,0,1,36
12.0,true,0.0059841,20.0,61,4,5,46
12.0,true,0.0013105,20.0,43,2,3,45
12.0,true,0.0011321,18.0,88,2,5,43
12.0,true,2.245E-4,20.0,26,1,2,41
12.0,true,6.41E-4,20.0,81,5,6,49
12.0,true,0.0034634,20.0,37,1,2,41
12.0,true,2.121E-4,20.0,27,1,2,41
13.0,true,2.268E-4,22.0,40,1,3,41
13.0,true,0.0033528,20.0,48,2,3,45
13.0,true,0.0014148,20.0,46,2,3,45
13.0,true,1.356E-4,20.0,40,2,3,42
13.0,true,0.0014122,22.0,56,4,5,51
13.0,true,8.886E-4,22.0,45,1,3,51
13.0,true,6.129E-4,30.0,56,2,4,53
13.0,true,0.0016695,20.0,73,4,5,48
13.0,true,0.0014248,18.0,38,1,2,42
13.0,true,0.0062396,24.0,67,3,5,52
14.0,true,0.0018248,24.0,53,3,4,47
14.0,true,3.737E-4,20.0,50,2,4,47
14.0,true,0.0016326,18.0,48,2,3,43
14.0,true,0.0010604,24.0,42,3,4,48
14.0,true,0.0098232,24.0,50,2,3,48
14.0,true,3.57E-4,18.0,31,1,2,38
14.0,true,7.74E-4,20.0,38,2,3,42
14.0,true,2.13E-4,20.0,38,1,3,44
14.0,true,0.0074566,22.0,91,7,8,49
14.0,true,9.78E-4,18.0,53,2,3,45
15.0,true,5.621E-4,20.0,37,1,2,45
15.0,true,3.975E-4,18.0,51,2,3,45
15.0,true,0.0030796,18.0,36,1,2,39
15.0,true,0.0056389,18.0,37,1,2,40
15.0,true,0.0065735,30.0,86,6,7,60
15.0,true,4.316E-4,20.0,50,3,4,42
15.0,true,5.34E-4,26.0,64,2,4,53
15.0,true,3.556E-4,22.0,36,2,3,44
15.0,true,0.0041786,20.0,67,3,4,42
15.0,true,2.618E-4,20.0,28,1,2,41
