Probability,Solvable,Runtime,Path Length,Number of Cells Processed,Number of Bumps,Number of Planning Steps,Number of Cells Determined
0.0,true,0.004675,18.0,19,0,1,36
0.0,true,0.0010735,18.0,19,0,1,36
0.0,true,5.231E-4,18.0,19,0,1,36
0.0,true,0.0014972,18.0,19,0,1,36
0.0,true,5.748E-4,18.0,19,0,1,36
0.0,true,7.902E-4,18.0,19,0,1,36
0.0,true,5.016E-4,18.0,19,0,1,36
0.0,true,4.206E-4,18.0,19,0,1,36
0.0,true,5.072E-4,18.0,19,0,1,36
0.0,true,4.721E-4,18.0,19,0,1,36
0.0,true,0.0011029,18.0,58,0,1,36
0.0,true,4.783E-4,18.0,19,0,1,36
0.0,true,3.34E-4,18.0,19,0,1,36
0.0,true,2.277E-4,18.0,19,0,1,36
0.0,true,4.256E-4,18.0,31,0,1,47
0.0,true,3.093E-4,18.0,19,0,1,36
0.0,true,2.418E-4,18.0,19,0,1,36
0.0,true,3.536E-4,18.0,20,0,1,44
0.0,true,2.752E-4,18.0,19,0,1,36
0.0,true,3.239E-4,18.0,19,0,1,36
0.0,true,4.835E-4,18.0,23,0,1,45
0.0,true,8.21E-4,18.0,20,0,1,51
0.0,true,0.0012205,18.0,64,0,1,44
0.0,true,3.347E-4,18.0,19,0,1,43
0.0,true,2.682E-4,18.0,19,0,1,43
0.0,true,3.118E-4,18.0,21,0,1,36
0.0,true,2.609E-4,18.0,19,0,1,36
0.0,true,2.466E-4,18.0,21,0,1,44
0.0,true,4.548E-4,18.0,19,0,1,49
0.0,true,3.006E-4,18.0,19,0,1,36
0.0,true,0.0025248,18.0,51,0,1,44
0.0,true,0.0010675,18.0,24,0,1,49
0.0,true,3.46E-4,18.0,32,0,1,50
0.0,true,0.0013511,18.0,19,0,1,36
0.0,true,5.233E-4,18.0,58,0,1,47
0.0,true,4.01E-4,18.0,34,0,1,47
0.0,true,2.221E-4,18.0,19,0,1,36
0.0,true,4.449E-4,18.0,21,0,1,46
0.0,true,2.701E-4,18.0,21,0,1,44
0.0,true,2.69E-4,18.0,19,0,1,44
0.0,true,2.911E-4,18.0,19,0,1,48
0.0,true,2.57E-4,18.0,19,0,1,36
0.0,true,3.493E-4,20.0,43,1,2,39
0.0,true,1.846E-4,18.0,21,0,1,36
0.0,true,4.486E-4,18.0,21,0,1,45
0.0,true,0.0011497,18.0,44,0,1,50
0.0,true,2.759E-4,18.0,34,0,1,46
0.0,true,2.043E-4,18.0,19,0,1,36
0.0,true,4.345E-4,18.0,56,0,1,46
0.0,true,1.804E-4,18.0,19,0,1,36
0.0,true,3.282E-4,18.0,19,0,1,45
0.0,true,3.783E-4,18.0,54,0,1,45
0.0,true,2.819E-4,18.0,33,0,1,47
0.0,true,3.448E-4,18.0,37,0,1,47
0.0,true,1.89E-4,18.0,19,0,1,36
0.0,true,4.097E-4,18.0,62,0,1,48
0.0,true,2.6E-4,18.0,38,0,1,47
0.0,true,2.108E-4,18.0,29,0,1,46
0.0,true,2.004E-4,18.0,23,0,1,42
0.0,true,2.678E-4,18.0,21,0,1,44
0.0,true,2.826E-4,18.0,29,0,1,46
0.0,true,6.439E-4,18.0,58,0,1,42
0.0,true,2.86E-4,18.0,37,0,1,36
0.0,true,3.095E-4,18.0,65,0,1,44
0.0,true,2.533E-4,18.0,32,0,1,44
